['42']
['926']
['528']
['810']
['884']
['367']
['455']
['60']
['671']
['922']
['360']
['134', '335', '23', '505', '577', '871', '812', '185', '286', '206', '282', '684', '578', '397', '666', '728', '848', '25', '536', '104']
['262', '533', '663', '97', '834', '654', '949', '366', '977', '241', '290', '516', '305', '657', '7', '403', '786', '642', '184', '569', '105', '944', '678', '330', '20', '774', '446', '175', '829', '165', '645', '567', '600', '915', '256']
['123', '268', '945', '242', '417', '611', '33', '317', '170', '59', '994', '463', '45', '208', '520', '347', '215', '673', '840', '599', '745', '84', '373', '544', '375', '581', '705', '835', '297', '888', '897', '87', '959', '591', '388']
['771', '692', '77', '91', '65', '933', '699', '490', '481', '88', '626', '276', '58', '17', '974', '331', '188', '796', '815', '296', '760', '514', '5', '29', '173', '401', '511', '86', '736', '251', '621', '199', '617', '839', '38']
['853', '942', '732', '768', '901', '816', '641', '687', '492', '646', '561', '972', '712', '652', '298', '487', '585', '845', '764', '253', '706', '763', '109', '1', '510', '293', '863', '952', '996', '907', '934', '931', '21', '983', '160']
['509', '860', '770', '193', '118', '442', '762', '874', '482', '372', '149', '80', '435', '322', '138', '356', '402', '917', '689', '491', '137', '825', '240', '847', '690', '759', '939', '384', '106', '912', '471', '32', '988', '719', '186']
['675', '718', '502', '306', '850', '798', '342', '457', '647', '975', '228', '955', '64', '275', '623', '349', '966', '662', '10', '311', '899', '861', '725', '523', '112', '99', '640', '391', '430', '422', '400', '830', '501', '352', '55']
['380', '697', '423', '724', '266', '824', '891', '570', '19', '610', '133', '139', '913', '864', '551', '249', '773', '721', '743', '273', '910', '289', '997', '486', '564', '283', '629', '555', '277', '573', '866', '691', '156', '495', '271']
['83', '339', '178', '179', '735', '887', '837', '468', '416', '918', '131', '95', '938', '526', '775', '427', '787', '153', '13', '818', '892', '985', '756', '469', '75', '842', '785', '288', '320', '726', '846', '53', '48', '260', '73']
['923', '460', '110', '201', '142', '967', '41', '452', '327', '247', '859', '549', '688', '497', '558', '607', '140', '281', '597', '927', '792', '804', '15', '436', '488', '960', '550', '811', '162', '867', '586', '614', '31', '890', '707']
['224', '114', '711', '851', '898', '122', '364', '454', '752', '148', '817', '101', '166', '250', '71', '820', '164', '103', '698', '28', '612', '821', '426', '56', '496', '793', '643', '778', '627', '957', '524', '677', '489', '324', '590']
['500', '791', '625', '209', '660', '720', '644', '532', '958', '161', '661', '294', '450', '392', '784', '466', '424', '309', '272', '57', '147', '238', '783', '177', '624', '386', '174', '788', '421', '89', '628', '730', '39', '345', '518']
['601', '633', '883', '758', '880', '674', '382', '334', '507', '69', '920', '49', '265', '708', '632', '484', '525', '739', '710', '127', '357', '231', '513', '425', '757', '494', '284', '554', '729', '941', '905', '295', '279', '819', '203']
['340', '405', '790', '287', '504', '74', '259', '369', '630', '981', '539', '670', '78', '35', '733', '727', '937', '808', '374', '512', '723', '982', '473', '737', '211', '214', '603', '592', '805', '576', '480', '669', '396', '483', '472']
['503', '685', '498', '547', '648', '875', '202', '801', '210', '428', '346', '529', '998', '807', '928', '81', '717', '355', '919', '795', '302', '540', '168', '107', '2', '121', '333', '343', '991', '68', '377', '4', '531', '987', '992']
['962', '943', '328', '637', '313', '197', '221', '72', '650', '631', '270', '264', '96', '800', '620', '595', '243', '527', '976', '180', '635', '326', '747', '781', '515', '651', '665', '553', '741', '299', '136', '216', '93', '546', '986']
['950', '129', '368', '154', '814', '702', '34', '530', '862', '953', '159', '254', '414', '522', '683', '393', '92', '746', '304', '318', '676', '921', '754', '803', '378', '141', '383', '734', '385', '187', '894', '679', '543', '444', '390']
['445', '475', '447', '363', '535', '634', '961', '659', '930', '596', '594', '195', '984', '990', '135', '189', '152', '6', '459', '750', '873', '182', '521', '852', '925', '980', '470', '67', '361', '365', '709', '672', '465', '822', '434']
