['763', '94', '201', '896', '618', '211', '877', '658', '83', '449', '369', '674', '379', '319', '870', '531', '545', '962', '749', '163', '36', '772', '482', '228', '303', '726', '665', '620', '150', '210', '733', '614', '961', '102', '867', '344', '145', '537', '937', '48', '710', '582', '215', '656', '119', '801', '226', '293', '781']
['954', '740', '907', '346', '573', '306', '857', '192', '495', '267', '469', '596', '777', '299', '11', '660', '524', '843', '938', '67', '659', '591', '949', '181', '663', '108', '432', '427', '847', '46', '21', '840', '717', '707', '453', '107', '490', '84', '240', '105', '902', '641', '681', '370', '541', '928', '498', '858', '718']
['979', '329', '960', '418', '4', '251', '278', '253', '402', '78', '662', '304', '576', '121', '328', '245', '180', '428', '188', '508', '978', '534', '408', '205', '291', '97', '862', '249', '35', '81', '550', '942', '49', '910', '711', '630', '277', '957', '850', '590', '874', '139', '438', '941', '27', '930', '204', '900', '164']
['115', '388', '976', '634', '625', '885', '225', '696', '52', '884', '916', '533', '651', '919', '8', '290', '69', '700', '586', '688', '474', '604', '503', '863', '335', '725', '724', '876', '680', '673', '236', '2', '677', '757', '915', '157', '933', '147', '151', '468', '258', '203', '465', '805', '605', '285', '472', '771', '487']
['621', '924', '734', '721', '165', '784', '292', '617', '50', '106', '289', '796', '601', '275', '51', '360', '543', '398', '968', '728', '852', '894', '505', '562', '912', '972', '480', '759', '561', '706', '218', '298', '20', '13', '454', '6', '546', '820', '124', '555', '564', '742', '109', '610', '223', '626', '384', '351', '802']
['903', '135', '138', '754', '126', '31', '712', '765', '378', '60', '752', '702', '808', '281', '372', '435', '723', '731', '668', '635', '551', '619', '588', '308', '356', '842', '975', '171', '836', '341', '212', '262', '274', '23', '974', '42', '269', '834', '970', '363', '838', '489', '279', '64', '156', '103', '594', '888', '950']
['675', '803', '396', '368', '15', '170', '227', '832', '446', '921', '783', '71', '113', '791', '231', '173', '891', '323', '63', '595', '321', '28', '376', '86', '485', '536', '510', '301', '813', '54', '234', '814', '580', '196', '90', '581', '535', '219', '593', '739', '899', '661', '409', '175', '917', '538', '371', '382', '189']
['698', '794', '213', '214', '736', '727', '322', '844', '764', '544', '100', '53', '872', '517', '99', '167', '387', '654', '111', '571', '327', '516', '160', '790', '560', '77', '923', '76', '132', '383', '89', '868', '640', '613', '254', '451', '202', '3', '411', '353', '114', '260', '936', '149', '300', '892', '315', '521', '893']
['527', '775', '88', '901', '809', '37', '947', '694', '574', '807', '666', '401', '87', '199', '420', '567', '649', '526', '38', '770', '12', '58', '854', '963', '572', '684', '951', '525', '904', '703', '647', '898', '429', '823', '75', '554', '116', '738', '172', '79', '767', '307', '598', '715', '74', '9', '237', '548', '908']
['287', '811', '691', '61', '827', '56', '340', '284', '966', '579', '955', '704', '578', '645', '55', '473', '24', '256', '826', '522', '41', '882', '268', '311', '566', '965', '295', '481', '559', '592', '288', '922', '833', '361', '273', '722', '137', '623', '233', '364', '829', '853', '478', '230', '932', '690', '101', '405', '302']
['246', '337', '91', '865', '969', '755', '905', '693', '789', '762', '415', '207', '177', '597', '282', '812', '403', '391', '484', '845', '483', '343', '766', '513', '768', '367', '400', '866', '216', '713', '375', '747', '456', '359', '879', '252', '421', '140', '795', '14', '185', '773', '194', '878', '871', '222', '512', '276', '964']
['330', '316', '785', '136', '492', '782', '324', '155', '265', '224', '846', '93', '348', '751', '390', '448', '864', '944', '320', '404', '810', '158', '520', '817', '973', '496', '648', '697', '152', '380', '433', '440', '518', '800', '778', '887', '423', '632', '33', '22', '407', '259', '339', '123', '589', '413', '952', '926', '412']
['629', '325', '162', '529', '195', '689', '130', '426', '799', '699', '818', '906', '314', '568', '824', '744', '828', '470', '971', '57', '956', '309', '497', '633', '837', '493', '187', '389', '125', '967', '914', '169', '760', '436', '786', '929', '95', '676', '146', '283', '583', '392', '424', '439', '112', '890', '417', '549', '7']
['73', '347', '940', '953', '708', '143', '190', '394', '477', '509', '131', '859', '569', '720', '869', '719', '30', '19', '127', '958', '670', '756', '65', '743', '849', '948', '622', '514', '176', '349', '945', '556', '695', '639', '345', '501', '925', '616', '357', '98', '479', '934', '232', '628', '437', '806', '445', '507', '460']
['110', '557', '577', '500', '26', '506', '352', '80', '255', '600', '643', '297', '154', '16', '70', '96', '831', '334', '247', '816', '326', '839', '183', '570', '129', '946', '266', '452', '886', '737', '381', '217', '475', '530', '653', '174', '669', '209', '261', '434', '523', '931', '263', '1', '198', '374', '104', '685', '366']
