['141']
['84']
['55', '742', '395', '568', '73', '590', '806', '77', '42', '211', '469', '182', '405', '428', '3', '205', '661', '484', '219', '284', '167', '849', '16', '286', '642', '459', '26', '672', '890', '501', '764', '325', '679', '393', '862', '652', '733', '578', '351', '332', '714', '878', '310', '384', '335', '744', '739', '772', '670', '177']
['715', '582', '556', '289', '112', '173', '143', '85', '785', '337', '236', '644', '319', '74', '719', '461', '549', '190', '17', '106', '471', '416', '201', '87', '767', '453', '373', '630', '759', '253', '581', '433', '273', '213', '43', '140', '814', '899', '620', '12', '217', '247', '478', '10', '161', '618', '830', '728', '456', '876']
['204', '121', '418', '134', '895', '462', '848', '304', '148', '554', '312', '680', '736', '724', '765', '867', '450', '470', '435', '37', '792', '320', '690', '485', '111', '437', '704', '100', '557', '558', '831', '793', '757', '779', '645', '266', '466', '96', '720', '669', '532', '844', '338', '179', '458', '383', '314', '518', '28', '550']
['638', '178', '397', '189', '27', '267', '811', '408', '731', '122', '829', '702', '605', '256', '108', '750', '850', '360', '261', '117', '162', '657', '823', '159', '561', '566', '298', '89', '681', '891', '634', '24', '210', '71', '347', '353', '29', '535', '607', '224', '171', '25', '239', '812', '624', '290', '696', '517', '737', '434']
['600', '206', '131', '746', '562', '6', '465', '709', '886', '423', '571', '41', '229', '350', '249', '63', '877', '617', '254', '682', '444', '729', '871', '88', '246', '705', '174', '828', '807', '68', '369', '132', '593', '424', '99', '839', '138', '392', '565', '533', '327', '86', '123', '299', '496', '102', '194', '592', '778', '512']
['120', '510', '647', '381', '753', '385', '851', '128', '866', '523', '726', '339', '414', '54', '180', '399', '776', '324', '19', '619', '897', '391', '500', '595', '782', '125', '455', '135', '675', '333', '330', '230', '426', '340', '649', '410', '858', '457', '127', '573', '90', '250', '82', '443', '787', '819', '706', '436', '521', '463']
['13', '855', '356', '295', '783', '887', '302', '502', '126', '874', '889', '802', '401', '237', '170', '271', '769', '421', '255', '145', '287', '342', '119', '542', '551', '323', '700', '101', '114', '278', '803', '152', '614', '635', '870', '639', '396', '671', '725', '482', '281', '898', '820', '417', '336', '144', '279', '559', '464', '21']
['632', '882', '810', '238', '538', '321', '193', '754', '467', '59', '98', '243', '183', '103', '813', '306', '288', '449', '692', '674', '599', '409', '544', '789', '780', '625', '146', '22', '519', '664', '884', '747', '487', '749', '707', '686', '824', '712', '863', '107', '743', '220', '185', '622', '460', '745', '394', '631', '263', '169']
['480', '363', '499', '39', '875', '196', '388', '678', '262', '218', '748', '509', '526', '762', '492', '387', '893', '15', '91', '62', '14', '56', '139', '673', '570', '503', '226', '524', '684', '627', '234', '699', '48', '790', '264', '602', '61', '331', '504', '468', '67', '626', '439', '579', '9', '659', '420', '270', '92', '275']
['677', '695', '66', '344', '838', '20', '240', '176', '403', '479', '8', '603', '227', '187', '346', '859', '589', '293', '318', '374', '734', '755', '163', '711', '94', '165', '404', '547', '0', '343', '835', '447', '446', '493', '774', '572', '419', '676', '598', '552', '815', '881', '200', '372', '693', '241', '294', '628', '610', '703']
['166', '76', '513', '583', '188', '109', '415', '245', '375', '738', '231', '522', '164', '658', '260', '301', '149', '843', '379', '430', '608', '198', '666', '560', '1', '36', '481', '553', '427', '667', '539', '640', '472', '23', '775', '412', '95', '662', '842', '505', '195', '429', '837', '208', '741', '248', '389', '315', '251', '32']
['766', '216', '258', '386', '576', '799', '541', '377', '142', '574', '520', '869', '186', '341', '292', '38', '809', '655', '537', '431', '896', '796', '411', '349', '833', '761', '732', '362', '232', '365', '473', '78', '283', '515', '364', '508', '483', '768', '113', '548', '708', '488', '691', '334', '438', '845', '155', '69', '105', '269']
['97', '540', '834', '371', '585', '555', '184', '660', '723', '718', '355', '689', '265', '594', '448', '864', '40', '698', '514', '710', '822', '153', '7', '798', '801', '370', '892', '223', '756', '311', '543', '529', '697', '716', '175', '329', '865', '613', '137', '30', '784', '534', '840', '282', '172', '305', '816', '274', '124', '873']
['604', '804', '46', '717', '879', '150', '252', '110', '475', '751', '425', '44', '454', '588', '259', '445', '65', '272', '836', '378', '883', '442', '788', '760', '308', '75', '597', '721', '280', '407', '322', '587', '636', '359', '584', '494', '18', '191', '214', '352', '151', '651', '328', '567', '354', '722', '685', '577', '606', '192']
['713', '422', '368', '665', '853', '498', '452', '668', '235', '856', '586', '45', '564', '817', '506', '648', '623', '406', '771', '64', '303', '348', '683', '400', '611', '735', '147', '861', '83', '154', '212', '5', '11', '307', '580', '641', '758', '646', '233', '390', '643', '880', '93', '694', '228', '244', '326', '637']
['285', '268', '609', '794', '207', '317', '432', '476', '80', '531', '451', '222', '777', '181', '612', '50', '225', '491', '516', '797', '888', '382', '826', '656', '199', '791', '616', '242', '885', '413', '827', '847', '72', '621', '358', '795', '727', '486', '79', '530', '257', '402', '495', '156', '575', '376', '860', '633', '4', '653']
['868', '525', '297', '380', '563', '398', '215', '507', '104', '296', '441', '477', '688', '629', '129', '116', '808', '569', '367', '490', '118', '440', '35', '596', '53', '894', '136', '197', '852', '168', '130', '825', '202', '158', '49', '527', '51', '221', '157', '857', '81', '730', '366', '752', '821', '773', '663', '701', '316', '687']
['591', '805', '832', '800', '57', '818', '357', '60', '770', '31', '209', '846', '650', '601', '497', '361', '34', '511', '474', '740', '872', '841', '277', '133', '536', '313', '276', '115', '654', '528', '854', '309', '58', '203', '345', '291', '70', '33', '786', '763', '489', '300', '781', '615', '546', '47', '2', '52', '160', '545']
