['600', '267', '471', '490', '401', '179']
['449', '166', '248', '519', '536', '546']
['384', '405', '41', '679', '362', '114']
['713', '279', '310', '24', '305', '60']
['385', '307', '138', '480', '511', '541']
['587', '371', '532', '653', '399', '564']
['197', '606', '635', '592', '192', '229']
['619', '553', '240', '30', '638', '295']
['200', '498', '137', '665', '19', '505']
['207', '469', '150', '707', '432', '453']
['315', '639', '373', '16', '538', '342']
['273', '261', '199', '369', '558', '489']
['682', '32', '299', '33', '22', '395']
['348', '588', '105', '90', '394', '454']
['718', '59', '424', '501', '270', '429']
['124', '370', '378', '574', '597', '414']
['706', '446', '45', '266', '403', '472']
['49', '677', '88', '283', '319', '252']
['71', '181', '521', '54', '700', '119']
['358', '132', '64', '631', '611', '473']
['584', '126', '514', '272', '557', '168']
['542', '366', '239', '87', '117', '102']
['547', '242', '232', '710', '668', '136']
['655', '708', '173', '262', '632', '626']
['577', '583', '77', '642', '610', '182']
['654', '209', '17', '190', '291', '477']
['629', '134', '2', '86', '715', '304']
['224', '250', '382', '263', '65', '333']
['23', '171', '694', '534', '257', '340']
['571', '528', '336', '493', '484', '156']
['689', '82', '716', '465', '227', '692']
['445', '51', '680', '329', '714', '99']
['81', '646', '533', '201', '108', '431']
['63', '103', '520', '309', '608', '286']
['423', '372', '66', '306', '456', '330']
['458', '604', '595', '241', '213', '275']
['684', '430', '303', '145', '214', '447']
['516', '225', '556', '221', '686', '318']
['178', '143', '517', '159', '191', '56']
['339', '73', '302', '702', '591', '630']
['356', '648', '426', '504', '316', '89']
['670', '79', '327', '326', '450', '565']
['690', '365', '161', '615', '685', '393']
['331', '175', '545', '582', '125', '459']
['78', '247', '383', '186', '26', '230']
['69', '513', '485', '42', '390', '244']
['380', '602', '162', '396', '113', '18']
['442', '40', '510', '180', '187', '335']
['494', '169', '107', '422', '548', '128']
['540', '452', '609', '555', '338', '183']
['345', '601', '691', '343', '324', '347']
['110', '253', '135', '704', '468', '235']
['578', '260', '388', '569', '325', '15']
['357', '435', '437', '204', '292', '634']
['277', '76', '158', '341', '354', '216']
['389', '83', '139', '554', '352', '228']
['155', '91', '43', '551', '268', '93']
['12', '667', '185', '627', '1', '386']
['695', '544', '482', '374', '537', '624']
['258', '165', '84', '274', '687', '674']
['433', '507', '133', '6', '579', '560']
['322', '617', '581', '417', '407', '349']
['428', '594', '497', '633', '236', '421']
['350', '146', '96', '562', '457', '177']
['205', '193', '164', '39', '440', '118']
['502', '377', '363', '641', '467', '311']
['264', '237', '570', '288', '334', '290']
['675', '696', '218', '462', '451', '568']
['662', '515', '8', '524', '509', '92']
['483', '398', '657', '441', '289', '147']
['478', '656', '101', '320', '499', '94']
['0', '251', '328', '142', '360', '364']
['20', '359', '259', '586', '287', '172']
['308', '80', '666', '559', '566', '645']
['643', '529', '672', '271', '703', '120']
['400', '402', '27', '246', '650', '293']
['317', '278', '167', '719', '300', '184']
['243', '206', '605', '265', '67', '3']
['367', '13', '212', '157', '464', '411']
['28', '203', '491', '7', '195', '448']
['427', '337', '55', '474', '410', '412']
['58', '215', '121', '522', '709', '589']
['85', '612', '550', '353', '50', '487']
['174', '488', '9', '552', '298', '563']
['249', '323', '599', '420', '408', '5']
['170', '658', '314', '75', '115', '651']
['705', '282', '4', '596', '664', '659']
['500', '613', '673', '466', '576', '475']
['661', '189', '391', '254', '652', '35']
['525', '439', '226', '14', '699', '413']
['37', '312', '72', '649', '598', '220']
['231', '381', '628', '676', '104', '479']
['698', '539', '111', '614', '644', '70']
['572', '530', '585', '313', '153', '296']
['123', '678', '701', '152', '332', '144']
['130', '255', '208', '461', '233', '561']
['575', '512', '455', '470', '194', '97']
['25', '567', '284', '122', '344', '219']
['112', '636', '368', '281', '404', '276']
['176', '603', '683', '238', '463', '48']
['141', '269', '526', '196', '620', '712']
['154', '397', '61', '573', '671', '361']
['109', '57', '506', '95', '492', '425']
['387', '434', '217', '52', '660', '409']
['717', '62', '618', '202', '406', '285']
['503', '11', '415', '160', '140', '418']
['637', '376', '31', '297', '321', '98']
['663', '543', '549', '496', '436', '495']
['223', '443', '523', '621', '616', '280']
['149', '375', '622', '222', '351', '379']
['46', '38', '444', '245', '711', '198']
['210', '681', '188', '647', '68', '10']
['593', '438', '697', '625', '640', '294']
['106', '131', '486', '47', '211', '234']
['34', '518', '508', '346', '693', '607']
['460', '148', '590', '127', '392', '419']
['116', '669', '36', '688', '416', '535']
['129', '44', '476', '355', '74', '256']
['301', '163', '29', '53', '481', '531']
['527', '21', '580', '100', '151', '623']
