['51', '291', '298', '760', '116', '271', '473', '54', '494', '131', '576', '519', '474', '195', '793', '808']
['389', '668', '330', '348', '178', '758', '683', '256', '755', '707', '472', '24', '97', '717', '150', '273', '328', '448', '440', '366', '287', '572', '667', '672', '476', '365', '697', '806', '33', '254', '777', '679', '815', '689', '227']
['56', '80', '34', '555', '314', '210', '336', '382', '508', '752', '742', '403', '623', '230', '65', '57', '775', '834', '310', '391', '38', '105', '82', '100', '840', '425', '158', '115', '414', '790', '171', '500', '84', '842', '37']
['148', '11', '467', '669', '205', '481', '81', '819', '355', '402', '69', '847', '322', '454', '487', '462', '832', '653', '475', '640', '313', '206', '552', '522', '98', '827', '756', '259', '239', '774', '652', '260', '74', '504', '404']
['255', '485', '593', '736', '680', '493', '207', '233', '499', '496', '590', '548', '566', '347', '550', '247', '799', '746', '423', '228', '421', '282', '119', '542', '135', '36', '606', '789', '460', '582', '813', '695', '785', '745', '841']
['837', '420', '185', '269', '394', '509', '415', '830', '553', '556', '747', '631', '308', '28', '809', '169', '293', '687', '1', '32', '211', '778', '209', '501', '721', '352', '274', '466', '659', '276', '189', '410', '477', '422', '600']
['144', '820', '27', '332', '244', '581', '63', '598', '108', '761', '750', '337', '215', '62', '628', '231', '514', '784', '735', '714', '661', '824', '798', '730', '838', '130', '805', '696', '744', '563', '143', '102', '327', '767', '294']
['520', '398', '532', '25', '528', '154', '176', '134', '12', '343', '578', '521', '701', '187', '356', '323', '373', '86', '722', '725', '111', '533', '688', '418', '388', '326', '197', '465', '488', '123', '675', '35', '461', '43', '433']
['399', '685', '803', '203', '486', '599', '267', '751', '106', '351', '597', '104', '200', '836', '453', '340', '539', '246', '183', '846', '160', '490', '22', '442', '543', '156', '319', '728', '513', '438', '268', '40', '112', '199', '196']
['763', '278', '302', '218', '405', '4', '656', '296', '638', '826', '601', '531', '44', '671', '192', '7', '516', '447', '297', '518', '320', '710', '651', '506', '191', '443', '141', '234', '383', '682', '136', '551', '807', '657', '149']
['754', '625', '724', '592', '419', '825', '213', '354', '524', '608', '526', '48', '546', '621', '503', '329', '279', '762', '451', '558', '3', '439', '251', '53', '95', '339', '114', '614', '201', '655', '92', '252', '151', '794', '452']
['817', '611', '662', '71', '45', '361', '444', '607', '376', '718', '90', '236', '72', '400', '407', '39', '450', '829', '700', '220', '511', '567', '445', '769', '180', '349', '828', '483', '586', '544', '584', '164', '241', '292', '639']
['29', '650', '275', '823', '782', '540', '338', '538', '627', '23', '561', '449', '88', '835', '713', '729', '810', '312', '369', '549', '350', '702', '93', '132', '479', '2', '47', '559', '839', '517', '219', '362', '358', '285', '121']
['507', '852', '277', '316', '554', '764', '733', '372', '346', '152', '237', '170', '435', '796', '309', '617', '634', '780', '541', '52', '103', '243', '261', '127', '699', '304', '641', '471', '317', '381', '384', '431', '161', '153', '738']
['341', '194', '60', '495', '649', '684', '791', '571', '223', '740', '603', '77', '245', '265', '529', '76', '257', '83', '706', '497', '630', '363', '0', '289', '124', '726', '633', '18', '165', '186', '753', '416', '212', '387', '46']
['262', '68', '530', '743', '315', '61', '324', '266', '281', '515', '463', '437', '430', '107', '704', '96', '482', '253', '225', '512', '844', '587', '217', '801', '691', '91', '853', '574', '175', '757', '221', '748', '737', '642', '773']
['470', '128', '345', '612', '188', '397', '573', '229', '818', '658', '142', '284', '129', '719', '783', '637', '333', '663', '386', '489', '21', '311', '616', '624', '109', '137', '64', '575', '41', '15', '595', '353', '708', '321', '797']
['537', '568', '117', '665', '216', '242', '855', '378', '723', '16', '686', '263', '709', '167', '570', '580', '591', '426', '78', '145', '673', '9', '238', '401', '478', '594', '527', '182', '342', '204', '579', '854', '849', '5', '395']
['379', '240', '569', '413', '816', '385', '779', '163', '711', '17', '301', '455', '615', '412', '177', '678', '776', '390', '406', '703', '577', '393', '564', '55', '232', '367', '547', '428', '283', '120', '456', '427', '288', '94', '334']
['10', '125', '822', '645', '666', '720', '409', '139', '647', '250', '812', '536', '484', '523', '814', '248', '811', '374', '660', '716', '589', '174', '99', '408', '85', '787', '270', '766', '87', '181', '446', '821', '618', '622', '235']
['604', '491', '510', '609', '50', '636', '734', '788', '306', '588', '14', '411', '525', '168', '264', '833', '101', '42', '146', '364', '331', '290', '670', '535', '664', '772', '619', '371', '694', '676', '851', '49', '602', '565', '781']
['804', '681', '492', '792', '184', '79', '300', '690', '632', '286', '66', '698', '727', '585', '75', '193', '126', '605', '303', '375', '502', '741', '299', '583', '335', '468', '59', '67', '795', '646', '122', '715', '498', '280', '674']
['6', '31', '305', '58', '318', '765', '850', '325', '30', '140', '226', '557', '159', '534', '770', '344', '166', '843', '692', '249', '157', '89', '469', '155', '133', '118', '392', '214', '626', '845', '786', '258', '831', '295', '272']
['610', '370', '8', '648', '562', '432', '654', '190', '19', '202', '359', '759', '162', '172', '208', '368', '768', '70', '693', '459', '73', '677', '198', '138', '147', '505', '457', '441', '635', '613', '643', '429', '396', '417', '620']
['629', '113', '357', '749', '434', '732', '26', '596', '110', '560', '436', '802', '464', '848', '222', '480', '20', '307', '380', '424', '224', '173', '458', '771', '545', '731', '800', '712', '739', '360', '705', '644', '13', '377', '179']
