['541']
['942']
['795']
['774']
['450']
['977']
['688']
['641']
['321']
['459']
['247', '638', '727', '92', '25', '154', '54', '726', '467', '183', '135', '600', '296', '177', '588', '724', '72', '513', '171', '284', '678', '731', '441', '40', '267']
['952', '138', '293', '283', '178', '587', '981', '145', '737', '512', '432', '117', '364', '546', '292', '573', '415', '132', '762', '768', '236', '96', '543', '765', '238']
['757', '920', '111', '615', '966', '612', '805', '970', '898', '689', '715', '282', '711', '532', '979', '251', '186', '295', '169', '328', '766', '113', '409', '114', '44']
['989', '650', '633', '601', '291', '412', '877', '743', '808', '754', '886', '357', '360', '906', '199', '565', '987', '855', '187', '361', '166', '788', '597', '180', '524']
['262', '244', '173', '249', '666', '965', '674', '440', '963', '939', '733', '208', '880', '669', '938', '37', '382', '853', '692', '884', '268', '476', '931', '576', '709']
['30', '579', '912', '997', '549', '89', '761', '809', '848', '28', '437', '746', '148', '270', '812', '200', '88', '458', '779', '352', '142', '846', '648', '302', '516']
['136', '311', '189', '748', '584', '850', '176', '143', '741', '802', '462', '948', '739', '957', '414', '174', '480', '903', '386', '778', '285', '240', '80', '634', '121']
['106', '596', '636', '274', '160', '804', '190', '705', '179', '536', '772', '656', '800', '153', '100', '377', '929', '185', '452', '925', '156', '481', '527', '326', '63']
['271', '876', '723', '167', '347', '569', '943', '575', '914', '307', '683', '231', '436', '485', '443', '558', '2', '854', '896', '529', '590', '844', '104', '891', '510']
['211', '578', '76', '811', '90', '205', '534', '204', '568', '677', '36', '714', '842', '260', '909', '828', '486', '487', '368', '971', '682', '694', '918', '617', '492']
['945', '969', '501', '112', '894', '747', '822', '67', '649', '170', '70', '631', '858', '696', '523', '27', '625', '832', '255', '561', '783', '863', '556', '505', '405']
['730', '272', '735', '372', '118', '470', '893', '998', '892', '367', '780', '83', '376', '928', '290', '781', '889', '718', '640', '426', '175', '115', '428', '591', '98']
['456', '275', '821', '340', '933', '237', '851', '325', '379', '71', '944', '875', '759', '375', '570', '736', '46', '225', '42', '595', '95', '453', '982', '370', '3']
['250', '663', '916', '571', '951', '309', '526', '393', '147', '162', '528', '843', '518', '439', '318', '616', '751', '108', '974', '482', '209', '60', '922', '400', '144']
['949', '233', '994', '852', '908', '687', '55', '278', '478', '12', '887', '915', '222', '837', '77', '128', '232', '856', '825', '431', '52', '371', '252', '465', '266']
