['432']
['957']
['285']
['924']
['811', '503', '275', '3', '425', '729', '37']
['20', '296', '914', '689', '421', '243', '433']
['68', '395', '813', '668', '108', '320', '884']
['177', '6', '595', '61', '237', '624', '387']
['235', '88', '627', '314', '913', '919', '933']
['25', '271', '796', '601', '663', '339', '551']
['880', '170', '213', '490', '122', '821', '923']
['50', '869', '565', '721', '288', '743', '371']
['346', '216', '810', '377', '220', '360', '727']
['200', '171', '416', '174', '207', '665', '934']
['250', '500', '763', '830', '287', '57', '724']
['461', '794', '873', '686', '459', '529', '341']
['539', '292', '132', '166', '136', '817', '616']
['774', '520', '718', '911', '365', '327', '849']
['759', '948', '660', '11', '613', '702', '369']
['805', '652', '860', '576', '661', '295', '13']
['502', '397', '920', '160', '414', '353', '307']
['648', '959', '229', '94', '463', '645', '208']
['761', '843', '861', '944', '748', '257', '375']
['549', '71', '541', '161', '268', '286', '373']
['714', '187', '262', '162', '523', '104', '676']
['448', '588', '956', '222', '150', '77', '657']
['123', '186', '263', '640', '389', '168', '112']
['474', '326', '45', '846', '888', '202', '906']
['330', '808', '351', '437', '939', '656', '795']
['267', '941', '473', '158', '457', '848', '259']
['907', '895', '445', '561', '609', '69', '23']
['522', '343', '749', '967', '788', '662', '337']
['62', '917', '129', '755', '99', '379', '301']
['816', '504', '419', '17', '720', '336', '699']
['63', '258', '303', '221', '315', '834', '673']
['270', '563', '19', '192', '726', '27', '29']
['291', '771', '442', '840', '118', '205', '592']
['368', '936', '176', '521', '352', '621', '745']
['655', '455', '786', '53', '514', '59', '760']
['396', '33', '606', '249', '770', '949', '734']
['147', '43', '878', '415', '531', '139', '946']
['562', '806', '366', '525', '90', '518', '22']
['868', '190', '105', '858', '615', '224', '380']
['381', '629', '597', '831', '611', '639', '647']
['535', '737', '75', '39', '219', '218', '472']
['178', '893', '495', '814', '450', '255', '508']
['818', '95', '173', '284', '685', '362', '116']
['97', '383', '148', '833', '733', '344', '247']
['787', '950', '385', '156', '435', '672', '664']
['752', '644', '545', '706', '476', '841', '486']
['772', '398', '630', '619', '325', '779', '547']
['370', '297', '886', '683', '862', '127', '475']
['110', '282', '767', '203', '491', '449', '462']
['802', '716', '254', '929', '234', '599', '9']
['7', '154', '803', '316', '891', '87', '537']
['867', '120', '428', '622', '482', '932', '418']
['707', '594', '704', '876', '692', '31', '427']
['947', '524', '758', '76', '374', '938', '197']
['688', '705', '559', '582', '572', '215', '309']
['338', '823', '815', '678', '60', '313', '570']
['544', '498', '915', '922', '566', '78', '600']
['667', '492', '477', '489', '335', '256', '790']
['5', '708', '517', '836', '225', '507', '784']
['238', '931', '766', '807', '632', '879', '182']
['892', '70', '791', '962', '283', '742', '509']
['471', '423', '628', '124', '165', '143', '789']
['269', '441', '538', '584', '607', '709', '935']
['532', '890', '426', '722', '550', '14', '153']
['671', '585', '877', '510', '773', '233', '653']
['499', '407', '960', '864', '199', '916', '905']
['201', '866', '777', '875', '859', '571', '340']
['883', '723', '334', '134', '812', '506', '140']
['921', '100', '28', '51', '411', '0', '654']
['631', '533', '736', '820', '596', '577', '228']
['231', '569', '513', '125', '384', '436', '194']
['212', '684', '206', '15', '185', '778', '542']
['903', '266', '747', '354', '494', '12', '587']
['67', '738', '41', '918', '844', '393', '367']
['643', '855', '863', '430', '780', '244', '605']
['180', '633', '762', '856', '909', '801', '838']
['64', '930', '757', '552', '578', '874', '926']
['223', '469', '438', '401', '281', '768', '485']
['211', '378', '553', '439', '765', '321', '625']
['107', '695', '49', '928', '86', '669', '958']
['91', '93', '36', '782', '184', '940', '44']
['175', '845', '942', '573', '712', '590', '603']
['897', '681', '456', '451', '167', '239', '152']
['440', '698', '556', '618', '847', '725', '117']
['610', '386', '963', '164', '739', '642', '101']
['241', '272', '505', '278', '965', '785', '470']
['155', '740', '80', '404', '560', '82', '74']
['98', '717', '240', '728', '925', '536', '130']
['280', '363', '696', '54', '819', '754', '191']
['623', '575', '832', '422', '468', '304', '210']
['1', '424', '581', '564', '276', '635', '646']
['8', '103', '797', '18', '764', '298', '65']
['390', '961', '579', '56', '356', '83', '969']
['966', '842', '617', '827', '342', '835', '528']
['306', '478', '196', '372', '650', '420', '429']
['405', '710', '145', '248', '399', '902', '227']
['464', '119', '896', '882', '253', '403', '361']
['691', '96', '126', '955', '697', '412', '246']
['34', '324', '953', '968', '497', '558', '42']
['311', '113', '32', '391', '452', '512', '226']
['4', '488', '865', '534', '898', '857', '400']
['480', '481', '693', '66', '851', '293', '775']
['620', '894', '183', '141', '318', '701', '323']
['904', '359', '732', '593', '357', '319', '308']
['312', '300', '649', '466', '142', '328', '408']
['540', '483', '527', '700', '634', '719', '299']
['853', '972', '332', '434', '951', '431', '317']
['908', '943', '580', '824', '945', '35', '348']
['137', '38', '21', '402', '964', '554', '889']
['750', '73', '694', '179', '114', '217', '839']
['230', '546', '543', '260', '970', '413', '822']
['604', '638', '305', '567', '265', '52', '447']
['331', '626', '583', '598', '133', '355', '322']
['679', '971', '214', '209', '608', '302', '574']
['871', '289', '151', '825', '781', '135', '515']
['48', '347', '409', '159', '382', '519', '484']
['800', '735', '460', '189', '47', '837', '111']
['804', '81', '453', '242', '670', '641', '458']
['193', '388', '711', '912', '651', '16', '169']
['636', '58', '274', '85', '172', '157', '55']
['128', '493', '251', '675', '511', '659', '829']
['887', '744', '731', '138', '680', '751', '444']
['24', '40', '730', '602', '329', '872', '279']
['548', '756', '900', '557', '885', '410', '687']
['294', '236', '115', '952', '232', '92', '394']
['586', '677', '417', '106', '333', '277', '487']
['927', '181', '10', '364', '637', '84', '102']
['149', '854', '446', '826', '809', '2', '79']
['465', '589', '195', '443', '715', '349', '454']
['901', '870', '783', '245', '46', '850', '261']
['530', '310', '479', '555', '198', '188', '376']
['496', '131', '682', '264', '614', '273', '881']
['109', '713', '30', '526', '204', '358', '392']
['937', '799', '612', '769', '753', '674', '121']
['350', '252', '89', '72', '793', '501', '828']
['658', '741', '26', '345', '146', '568', '776']
['290', '792', '666', '591', '852', '703', '406']
['163', '690', '910', '798', '746', '467', '899']
['954', '516', '144']
