['517', '439', '450', '330', '415', '390', '667', '347', '298', '196', '393', '144', '462', '41', '619', '581', '493', '519', '575', '83']
['537', '326', '494', '138', '688', '223', '8', '576', '657', '241', '565', '198', '570', '145', '685', '318', '655', '717', '599', '119', '454', '600', '623', '110', '161', '479', '699', '504', '489', '47', '716', '218', '251', '566', '299', '381', '142', '77', '216', '733']
['370', '87', '722', '442', '637', '738', '503', '683', '556', '227', '263', '633', '321', '169', '693', '360', '538', '92', '708', '702', '429', '329', '101', '121', '387', '723', '460', '512', '514', '580', '488', '646', '295', '29', '122', '222', '177', '389', '310', '106']
['178', '438', '650', '367', '235', '0', '89', '644', '625', '182', '690', '673', '283', '677', '257', '28', '470', '449', '557', '502', '164', '603', '672', '67', '609', '11', '394', '306', '293', '17', '334', '97', '125', '544', '322', '109', '678', '209', '586', '524']
['240', '648', '70', '336', '643', '445', '484', '574', '133', '272', '453', '584', '139', '201', '301', '388', '308', '477', '304', '612', '548', '165', '729', '698', '343', '102', '421', '593', '582', '254', '175', '595', '150', '409', '501', '414', '44', '379', '18', '639']
['94', '34', '305', '549', '654', '253', '7', '413', '518', '204', '335', '146', '604', '383', '57', '212', '686', '316', '137', '351', '174', '411', '86', '339', '185', '25', '410', '465', '48', '695', '80', '443', '359', '721', '707', '317', '275', '271', '155', '205']
['346', '100', '288', '652', '715', '606', '238', '183', '157', '51', '420', '430', '395', '405', '328', '84', '256', '440', '515', '114', '55', '377', '105', '13', '533', '385', '509', '510', '24', '88', '669', '289', '40', '232', '632', '578', '180', '631', '236', '561']
['243', '736', '66', '630', '314', '250', '42', '720', '248', '75', '541', '71', '170', '573', '635', '355', '246', '432', '471', '412', '419', '14', '279', '260', '724', '202', '9', '521', '473', '568', '621', '616', '342', '476', '710', '111', '270', '543', '622', '3']
['327', '31', '81', '20', '553', '507', '148', '107', '434', '149', '348', '366', '530', '141', '126', '466', '39', '352', '689', '224', '400', '416', '480', '191', '331', '483', '259', '545', '520', '547', '192', '435', '596', '297', '463', '345', '189', '641', '300', '217']
['43', '96', '681', '375', '104', '461', '364', '371', '670', '436', '35', '176', '694', '6', '91', '85', '4', '614', '407', '320', '675', '418', '589', '563', '653', '456', '422', '482', '135', '629', '558', '353', '592', '228', '117', '19', '499', '220', '481', '457']
['697', '431', '529', '425', '511', '398', '649', '467', '645', '368', '95', '325', '472', '118', '525', '718', '356', '361', '437', '315', '591', '5', '311', '399', '287', '215', '684', '712', '277', '427', '679', '36', '664', '32', '134', '532', '354', '620', '451', '60']
['357', '513', '99', '687', '247', '127', '291', '526', '731', '61', '286', '719', '350', '417', '369', '255', '666', '193', '27', '303', '433', '337', '294', '668', '56', '72', '30', '69', '197', '58', '536', '219', '167', '522', '613', '607', '386', '579', '528', '76']
['485', '618', '605', '531', '475', '187', '636', '172', '112', '392', '245', '285', '113', '583', '492', '154', '23', '363', '590', '628', '661', '73', '588', '158', '638', '93', '608', '696', '358', '572', '404', '705', '262', '464', '333', '542', '123', '408', '610', '534']
['45', '554', '129', '365', '307', '64', '594', '349', '714', '62', '210', '281', '213', '662', '115', '282', '491', '21', '478', '59', '659', '143', '53', '181', '221', '239', '444', '38', '372', '267', '406', '208', '506', '319', '52', '147', '726', '469', '739', '98']
['163', '26', '79', '559', '266', '324', '166', '624', '179', '264', '428', '374', '65', '168', '447', '159', '124', '33', '108', '441', '527', '131', '103', '550', '78', '495', '231', '728', '249', '540', '569', '206', '203', '341', '184', '273', '660', '446', '284', '680']
['274', '423', '403', '37', '160', '136', '233', '539', '560', '225', '562', '265', '211', '692', '332', '700', '448', '727', '497', '452', '587', '508', '459', '626', '384', '323', '276', '376', '171', '292', '455', '173', '676', '401', '468', '706', '74', '10', '546', '207']
['725', '200', '312', '380', '382', '214', '617', '601', '162', '280', '22', '234', '302', '474', '713', '252', '49', '642', '711', '186', '402', '552', '153', '656', '195', '290', '611', '496', '237', '268', '634', '188', '194', '424', '313', '82', '505', '671', '296', '242']
['709', '199', '490', '391', '63', '309', '627', '132', '567', '663', '598', '523', '585', '261', '397', '674', '90', '571', '735', '120', '130', '15', '486', '46', '682', '701', '258', '344', '116', '551', '152', '229', '498', '615', '640', '226', '426', '396', '703', '378']
['190', '230', '140', '535', '555', '16', '577', '128', '340', '516', '373', '278', '50', '500', '54', '597', '691', '732', '12', '338', '1', '362', '458', '647', '151', '68', '737', '730', '487', '269', '602', '651', '244', '564', '658', '704', '734', '2', '665', '156']
