['273', '745', '362', '302', '937', '167', '687', '583', '867', '430', '947', '50', '344', '726', '548', '418', '596', '686', '333', '626', '544', '646', '85', '490', '903', '833', '558', '425', '679', '433', '885']
['949', '90', '126', '177', '758', '479', '828', '932', '30', '465', '301', '923', '6', '440', '421', '637', '331', '691', '801', '742', '753', '506', '669', '834', '692', '406', '102', '70', '0', '206', '703']
['134', '309', '813', '336', '895', '881', '461', '647', '122', '836', '250', '298', '98', '656', '41', '800', '512', '754', '890', '156', '505', '735', '257', '160', '936', '566', '493', '432', '630', '953', '23']
['165', '351', '939', '690', '741', '47', '651', '854', '683', '259', '740', '208', '856', '359', '744', '497', '212', '205', '2', '288', '589', '442', '312', '71', '943', '454', '839', '66', '118', '924', '759']
['577', '180', '228', '876', '818', '954', '887', '272', '222', '127', '413', '872', '86', '879', '602', '78', '140', '330', '811', '492', '239', '5', '104', '883', '911', '54', '777', '449', '789', '175', '266']
['217', '644', '518', '688', '159', '311', '627', '9', '215', '19', '293', '152', '462', '137', '15', '263', '230', '364', '733', '417', '401', '262', '322', '17', '99', '394', '464', '797', '592', '128', '751']
['451', '546', '663', '163', '635', '868', '35', '641', '89', '788', '674', '719', '769', '621', '763', '229', '531', '648', '498', '385', '25', '387', '300', '561', '892', '511', '310', '792', '360', '480', '519']
['439', '187', '899', '209', '869', '582', '830', '631', '527', '316', '88', '670', '242', '77', '267', '323', '455', '108', '848', '914', '305', '379', '706', '286', '51', '815', '295', '200', '877', '405', '252']
['716', '458', '223', '494', '927', '75', '843', '111', '279', '148', '225', '423', '164', '317', '536', '931', '408', '710', '185', '782', '213', '382', '785', '925', '426', '270', '448', '547', '467', '783', '598']
['884', '446', '539', '888', '819', '422', '28', '76', '821', '278', '236', '121', '893', '917', '507', '369', '897', '463', '276', '169', '285', '732', '770', '900', '392', '16', '608', '204', '625', '929', '378']
['619', '704', '636', '826', '585', '910', '491', '343', '63', '179', '776', '655', '565', '629', '158', '151', '216', '166', '258', '10', '841', '605', '622', '762', '950', '916', '403', '508', '794', '203', '571']
['908', '912', '139', '959', '714', '337', '858', '946', '49', '173', '296', '760', '218', '702', '860', '402', '559', '837', '147', '211', '540', '314', '255', '145', '557', '371', '780', '543', '870', '572', '355']
['97', '444', '182', '587', '812', '82', '84', '649', '453', '855', '420', '303', '616', '227', '221', '603', '232', '345', '835', '241', '574', '253', '617', '481', '109', '576', '29', '549', '624', '353', '329']
['743', '790', '120', '501', '907', '680', '13', '657', '91', '863', '320', '600', '436', '550', '1', '768', '412', '597', '575', '712', '274', '901', '411', '898', '666', '814', '162', '264', '407', '261', '256']
['958', '728', '729', '471', '650', '72', '247', '499', '294', '235', '530', '662', '516', '58', '517', '513', '39', '849', '532', '332', '606', '684', '64', '181', '119', '18', '304', '358', '368', '191', '7']
['26', '718', '779', '27', '290', '335', '428', '495', '339', '486', '482', '844', '873', '610', '447', '580', '395', '764', '503', '701', '862', '525', '920', '613', '271', '960', '427', '799', '827', '170', '485']
['865', '410', '31', '765', '538', '37', '381', '739', '500', '915', '419', '829', '178', '607', '21', '251', '778', '424', '396', '315', '429', '693', '717', '357', '113', '138', '563', '384', '894', '922', '906']
['34', '48', '437', '478', '172', '560', '934', '823', '593', '116', '713', '460', '761', '845', '567', '52', '874', '905', '948', '112', '452', '832', '370', '612', '935', '522', '287', '866', '771', '766', '952']
['798', '696', '434', '130', '594', '896', '431', '737', '682', '338', '275', '945', '774', '642', '87', '472', '193', '755', '201', '847', '643', '634', '918', '944', '131', '3', '483', '705', '153', '803', '757']
['520', '956', '474', '450', '509', '144', '940', '176', '767', '234', '214', '388', '521', '397', '601', '842', '226', '730', '22', '207', '695', '245', '249', '807', '94', '820', '42', '496', '859', '909', '620']
['192', '632', '265', '386', '404', '186', '365', '698', '488', '475', '183', '219', '639', '143', '476', '933', '938', '326', '534', '955', '809', '334', '904', '43', '734', '12', '268', '62', '340', '591', '570']
['74', '951', '685', '806', '720', '361', '459', '850', '588', '731', '53', '155', '132', '599', '14', '816', '117', '238', '466', '341', '808', '711', '441', '36', '174', '349', '853', '528', '928', '32', '93']
['281', '709', '149', '220', '524', '246', '667', '105', '106', '697', '60', '752', '846', '871', '913', '533', '722', '661', '786', '562', '313', '810', '817', '638', '73', '822', '107', '470', '775', '930', '724']
['297', '523', '284', '604', '756', '802', '141', '748', '142', '665', '188', '374', '56', '721', '487', '489', '708', '307', '289', '248', '515', '157', '831', '292', '356', '399', '614', '199', '154', '793', '373']
['864', '564', '40', '689', '851', '198', '136', '556', '805', '668', '526', '882', '46', '727', '510', '615', '146', '468', '243', '840', '260', '658', '555', '319', '231', '676', '942', '372', '171', '502', '889']
['857', '781', '537', '723', '390', '299', '838', '535', '269', '59', '398', '738', '280', '569', '804', '308', '103', '354', '389', '224', '542', '125', '283', '67', '168', '573', '747', '347', '324', '772', '773']
['941', '194', '878', '673', '750', '124', '415', '414', '784', '551', '438', '367', '852', '652', '796', '135', '96', '553', '664', '202', '824', '400', '880', '123', '473', '184', '61', '65', '291', '69', '383']
['197', '20', '902', '891', '554', '114', '328', '660', '376', '44', '791', '584', '352', '514', '504', '244', '195', '694', '83', '240', '677', '377', '342', '707', '457', '363', '919', '653', '700', '628', '552']
['861', '581', '633', '435', '477', '445', '886', '529', '318', '678', '101', '282', '957', '38', '715', '11', '541', '391', '416', '100', '95', '196', '79', '736', '787', '654', '579', '4', '375', '578', '237']
['921', '55', '380', '545', '57', '348', '393', '611', '325', '746', '875', '189', '306', '749', '8', '672', '725', '795', '45', '681', '24', '671', '110', '133', '443', '92', '115', '346', '568', '327', '81']
['80', '254', '350', '277', '825', '150', '926', '640', '210', '590', '623', '129', '609', '699', '659', '469', '456', '33', '595', '190', '68', '233', '645', '366', '675', '484', '321', '618', '161', '409', '586']
