['74', '185', '455', '426', '166', '767', '422', '616', '475', '695', '97', '685', '631', '238', '540', '545', '614', '292', '555', '447', '751', '226', '290', '5', '165', '391', '589', '199', '411', '437', '596', '201']
['60', '739', '453', '507', '431', '26', '285', '371', '440', '352', '348', '446', '186', '630', '677', '521', '730', '508', '378', '314', '691', '12', '247', '316', '461', '539', '386', '536', '298', '387', '780', '77']
['116', '253', '459', '458', '269', '750', '108', '181', '155', '200', '561', '359', '4', '146', '334', '779', '223', '262', '720', '636', '332', '339', '706', '768', '660', '778', '484', '529', '400', '421', '638', '737']
['755', '639', '233', '379', '72', '149', '486', '504', '505', '346', '211', '701', '372', '409', '799', '608', '648', '656', '588', '96', '708', '500', '231', '357', '14', '735', '142', '567', '595', '417', '305', '662']
['509', '148', '680', '663', '479', '365', '115', '128', '517', '187', '687', '112', '19', '85', '82', '319', '493', '626', '716', '418', '793', '489', '50', '354', '642', '383', '427', '795', '629', '312', '607', '264']
['61', '136', '230', '38', '776', '347', '518', '491', '33', '274', '79', '120', '482', '64', '217', '513', '468', '109', '10', '218', '531', '604', '98', '102', '259', '403', '340', '15', '554', '788', '270', '667']
['757', '390', '502', '309', '162', '321', '308', '651', '282', '742', '571', '396', '641', '232', '224', '797', '368', '601', '625', '2', '665', '470', '361', '337', '258', '560', '635', '679', '376', '618', '603', '472']
['541', '784', '8', '551', '547', '84', '435', '432', '741', '101', '441', '469', '320', '573', '610', '24', '325', '644', '345', '349', '464', '28', '118', '694', '658', '582', '764', '580', '438', '700', '754', '503']
['86', '363', '307', '338', '234', '669', '498', '242', '172', '63', '557', '485', '288', '47', '425', '177', '477', '454', '465', '202', '492', '645', '456', '249', '563', '710', '392', '497', '654', '235', '552', '444']
['646', '526', '303', '117', '733', '606', '664', '792', '476', '597', '760', '57', '25', '698', '329', '783', '769', '791', '715', '122', '265', '132', '222', '182', '206', '702', '198', '758', '789', '451', '27', '794']
['104', '727', '747', '692', '389', '70', '659', '278', '147', '763', '134', '241', '782', '129', '138', '568', '717', '653', '180', '280', '311', '204', '184', '189', '78', '275', '719', '666', '299', '315', '632', '31']
['537', '125', '95', '424', '460', '681', '673', '91', '474', '69', '245', '99', '600', '220', '150', '210', '442', '786', '227', '558', '331', '623', '544', '286', '221', '105', '428', '246', '524', '798', '519', '579']
['37', '75', '362', '176', '366', '87', '532', '570', '773', '652', '671', '525', '690', '393', '450', '643', '752', '385', '127', '675', '430', '123', '621', '565', '279', '445', '583', '712', '433', '214', '414', '193']
['272', '723', '657', '135', '353', '268', '144', '609', '207', '605', '244', '487', '171', '373', '510', '668', '17', '6', '382', '16', '195', '205', '52', '174', '722', '527', '0', '80', '462', '496', '655', '463']
['203', '634', '725', '542', '790', '192', '746', '124', '736', '585', '410', '416', '770', '550', '452', '160', '36', '471', '191', '766', '41', '137', '157', '478', '71', '787', '586', '364', '271', '743', '228', '534']
['344', '543', '326', '3', '93', '457', '512', '322', '175', '407', '53', '20', '538', '439', '301', '380', '351', '594', '404', '676', '296', '419', '304', '670', '9', '384', '394', '397', '324', '682', '572', '121']
['330', '284', '774', '577', '381', '619', '415', '328', '374', '119', '713', '436', '591', '661', '145', '215', '46', '731', '395', '209', '335', '488', '81', '110', '141', '225', '248', '277', '377', '103', '576', '522']
['194', '408', '516', '749', '501', '49', '637', '163', '559', '300', '90', '640', '761', '762', '183', '327', '130', '88', '252', '729', '302', '294', '546', '771', '73', '696', '333', '92', '313', '243', '293', '219']
['159', '23', '239', '360', '350', '196', '599', '56', '306', '402', '689', '164', '649', '289', '624', '473', '466', '341', '759', '18', '257', '188', '336', '584', '139', '143', '370', '140', '65', '613', '42', '703']
['39', '178', '785', '43', '686', '515', '688', '704', '152', '490', '131', '83', '549', '30', '276', '598', '111', '467', '197', '494', '254', '22', '777', '356', '697', '406', '628', '420', '281', '153', '240', '592']
['413', '263', '168', '535', '714', '724', '578', '11', '250', '297', '533', '617', '753', '367', '620', '67', '405', '213', '267', '208', '705', '683', '62', '54', '170', '323', '674', '76', '772', '711', '44', '161']
['530', '167', '575', '448', '59', '775', '483', '721', '34', '707', '709', '756', '481', '590', '745', '1', '114', '399', '738', '574', '89', '684', '21', '48', '726', '765', '480', '718', '126', '375', '342', '169']
['236', '100', '261', '251', '796', '647', '107', '748', '190', '553', '434', '154', '317', '672', '55', '744', '343', '611', '514', '156', '318', '287', '260', '423', '133', '266', '179', '650', '216', '449', '520', '58']
['310', '495', '627', '283', '740', '499', '355', '35', '173', '229', '66', '699', '506', '612', '212', '94', '622', '113', '781', '528', '593', '237', '678', '569', '32', '29', '566', '255', '556', '291', '562', '273']
['256', '734', '587', '412', '548', '564', '295', '45', '369', '13', '693', '68', '429', '633', '615', '523', '151', '401', '158', '732', '728', '602', '106', '358', '40', '388', '51', '398', '511', '7', '581', '443']
