['605', '983', '833', '412', '840', '279', '353', '956', '400', '34', '97', '402', '416', '869', '479', '58', '658', '324', '830', '801']
['428', '780', '386', '37', '514', '795', '708', '232', '718', '701', '703', '461', '65', '980', '762', '634', '535', '21', '957', '75']
['421', '408', '706', '757', '300', '814', '600', '2', '677', '380', '209', '993', '890', '122', '561', '946', '932', '745', '508', '783']
['180', '524', '153', '730', '831', '291', '949', '981', '270', '233', '179', '694', '63', '134', '237', '435', '742', '498', '289', '193']
['170', '455', '202', '432', '549', '632', '245', '764', '781', '23', '858', '716', '81', '469', '475', '506', '644', '292', '162', '978']
['611', '820', '501', '229', '363', '219', '340', '698', '336', '623', '530', '290', '312', '362', '617', '520', '321', '603', '512', '551']
['688', '36', '3', '478', '853', '626', '569', '654', '495', '502', '567', '246', '954', '572', '633', '304', '988', '309', '679', '157']
['8', '628', '798', '358', '334', '570', '859', '755', '675', '39', '213', '999', '619', '575', '85', '377', '401', '218', '545', '615']
['924', '782', '12', '587', '137', '373', '841', '391', '733', '819', '766', '571', '191', '299', '888', '533', '356', '161', '813', '985']
['866', '799', '230', '367', '878', '476', '746', '409', '397', '288', '185', '140', '406', '244', '287', '641', '596', '388', '360', '526']
['399', '709', '468', '529', '599', '594', '253', '166', '606', '30', '849', '146', '693', '826', '82', '815', '996', '933', '850', '285']
['395', '577', '734', '459', '226', '439', '463', '702', '683', '732', '939', '609', '222', '120', '135', '316', '972', '668', '99', '754']
['14', '927', '665', '616', '101', '192', '923', '645', '313', '672', '588', '448', '896', '471', '35', '629', '560', '914', '910', '382']
['505', '467', '163', '670', '547', '252', '591', '433', '414', '10', '579', '172', '630', '71', '381', '413', '995', '124', '55', '680']
['565', '851', '259', '857', '647', '167', '774', '325', '556', '803', '543', '404', '90', '497', '347', '752', '104', '893', '322', '769']
['887', '389', '126', '690', '503', '40', '491', '590', '970', '453', '563', '442', '951', '973', '446', '452', '627', '601', '834', '350']
['98', '906', '276', '294', '848', '263', '138', '196', '721', '231', '370', '93', '522', '422', '355', '266', '105', '139', '772', '487']
['405', '44', '950', '256', '235', '311', '326', '636', '787', '301', '904', '710', '346', '625', '536', '635', '84', '870', '938', '348']
['794', '756', '434', '892', '994', '650', '133', '387', '277', '458', '212', '546', '899', '838', '832', '111', '89', '148', '296', '156']
['121', '109', '280', '926', '282', '59', '792', '558', '195', '117', '306', '201', '171', '176', '337', '352', '521', '823', '410', '96']
['164', '566', '684', '929', '207', '329', '538', '425', '20', '700', '482', '736', '440', '158', '188', '519', '494', '56', '349', '717']
['593', '621', '308', '582', '747', '875', '183', '456', '149', '542', '186', '894', '855', '705', '839', '131', '303', '41', '958', '991']
['225', '729', '759', '962', '699', '712', '250', '261', '916', '272', '711', '431', '123', '773', '835', '441', '465', '255', '968', '915']
['817', '511', '83', '663', '375', '298', '610', '451', '622', '791', '73', '274', '646', '328', '87', '438', '198', '443', '343', '885']
['903', '804', '4', '947', '485', '861', '689', '925', '941', '614', '1', '811', '856', '990', '392', '481', '199', '945', '342', '860']
['80', '895', '223', '642', '492', '366', '187', '548', '638', '931', '955', '749', '240', '184', '429', '275', '872', '936', '518', '60']
['0', '178', '744', '165', '504', '809', '94', '181', '15', '150', '977', '509', '194', '496', '268', '216', '943', '17', '95', '761']
['254', '415', '789', '69', '975', '751', '52', '539', '293', '739', '707', '9', '919', '205', '77', '236', '797', '532', '777', '128']
['573', '26', '678', '258', '537', '741', '685', '987', '620', '462', '595', '46', '544', '722', '437', '649', '314', '517', '315', '177']
['354', '821', '57', '998', '913', '341', '74', '810', '771', '450', '357', '863', '669', '107', '552', '602', '796', '379', '295', '976']
['930', '671', '992', '607', '269', '868', '110', '807', '750', '824', '257', '445', '394', '829', '948', '28', '952', '200', '527', '273']
['48', '740', '147', '464', '723', '760', '788', '114', '33', '45', '676', '900', '398', '214', '979', '905', '473', '480', '143', '78']
['260', '550', '966', '284', '25', '598', '151', '779', '79', '864', '969', '407', '691', '934', '942', '54', '307', '816', '911', '116']
['971', '965', '920', '891', '125', '189', '937', '576', '376', '338', '141', '472', '784', '129', '515', '489', '173', '493', '822', '852']
['215', '854', '278', '92', '874', '371', '70', '790', '540', '132', '486', '523', '554', '631', '217', '241', '32', '653', '880', '871']
['243', '286', '51', '154', '778', '430', '88', '881', '879', '206', '584', '420', '112', '770', '553', '62', '897', '686', '333', '731']
['344', '499', '351', '483', '776', '682', '53', '909', '127', '204', '940', '169', '825', '423', '720', '583', '963', '251', '42', '330']
['345', '697', '908', '49', '203', '22', '667', '836', '661', '921', '72', '510', '922', '175', '775', '130', '902', '687', '182', '500']
['396', '664', '585', '457', '674', '390', '265', '378', '374', '806', '847', '474', '763', '728', '7', '364', '659', '843', '61', '534']
['271', '640', '383', '403', '967', '115', '765', '652', '842', '283', '208', '735', '541', '211', '845', '568', '136', '332', '365', '808']
['417', '725', '918', '800', '737', '359', '5', '743', '507', '793', '76', '102', '986', '805', '704', '912', '660', '24', '648', '516']
['886', '726', '11', '559', '624', '484', '748', '786', '424', '418', '989', '935', '592', '656', '31', '317', '574', '917', '555', '727']
['447', '86', '953', '618', '898', '18', '27', '580', '427', '168', '802', '13', '657', '513', '323', '142', '68', '444', '643', '227']
['655', '118', '768', '724', '846', '234', '385', '16', '436', '715', '964', '319', '818', '695', '248', '612', '470', '589', '6', '106']
['47', '419', '50', '220', '103', '767', '608', '692', '449', '867', '19', '297', '331', '862', '466', '738', '239', '528', '477', '877']
['901', '368', '562', '714', '155', '281', '696', '43', '974', '564', '411', '247', '38', '174', '361', '242', '228', '828', '883', '372']
['637', '581', '666', '262', '29', '812', '960', '488', '320', '327', '889', '190', '873', '837', '758', '984', '64', '66', '264', '119']
['681', '197', '160', '997', '267', '586', '210', '719', '238', '961', '604', '959', '844', '673', '91', '221', '785', '460', '982', '928']
['525', '597', '865', '884', '651', '557', '335', '224', '639', '882', '369', '100', '310', '318', '454', '713', '578', '67', '145', '393']
['613', '827', '753', '108', '152', '944', '113', '907', '384', '302', '426', '876', '159', '490', '305', '339', '249', '531', '662', '144']
