['165']
['958']
['404']
['457']
['981']
['878']
['746']
['118', '224', '470', '951', '822', '397', '575', '936', '850', '183']
['220', '884', '758', '705', '289', '423', '975', '105', '573', '902', '414', '740', '228', '83', '505', '37', '671', '210', '167', '481', '452', '170']
['389', '578', '649', '911', '396', '579', '258', '426', '703', '784', '814', '321', '756', '312', '127', '478', '605', '831', '869', '400', '926', '9']
['254', '843', '645', '890', '496', '919', '429', '848', '255', '381', '302', '819', '769', '615', '631', '537', '635', '610', '43', '825', '65', '327']
['352', '955', '109', '506', '35', '232', '513', '266', '608', '447', '939', '916', '503', '765', '89', '276', '180', '15', '842', '294', '660', '665']
['256', '659', '557', '262', '263', '540', '797', '849', '309', '311', '415', '545', '836', '69', '686', '572', '261', '515', '192', '368', '960', '99']
['7', '497', '561', '945', '770', '638', '558', '428', '137', '664', '181', '577', '531', '673', '139', '48', '892', '604', '176', '759', '489', '399']
['116', '58', '104', '702', '602', '663', '609', '786', '965', '305', '106', '87', '903', '173', '184', '872', '941', '82', '189', '187', '928', '539']
['68', '14', '678', '378', '551', '977', '114', '171', '905', '837', '175', '411', '690', '893', '807', '8', '458', '369', '710', '912', '36', '410']
['218', '730', '370', '923', '794', '405', '713', '518', '655', '590', '111', '450', '694', '356', '284', '243', '667', '803', '948', '292', '538', '436']
['785', '270', '209', '914', '700', '115', '402', '125', '864', '341', '596', '317', '206', '169', '633', '755', '877', '320', '732', '841', '96', '75']
['963', '351', '870', '711', '938', '388', '805', '771', '563', '598', '182', '197', '328', '385', '728', '5', '329', '809', '253', '304', '453', '451']
['434', '107', '687', '760', '291', '972', '595', '833', '543', '962', '934', '468', '480', '882', '776', '391', '138', '23', '512', '264', '859', '835']
['978', '455', '793', '581', '695', '991', '528', '10', '582', '353', '783', '788', '2', '475', '417', '691', '900', '85', '345', '985', '135', '364']
['488', '477', '616', '318', '113', '53', '762', '398', '532', '216', '242', '108', '461', '933', '333', '102', '639', '929', '153', '373', '957', '88']
['100', '871', '804', '589', '433', '747', '259', '86', '129', '780', '947', '64', '178', '698', '681', '693', '868', '942', '277', '708', '685', '620']
['650', '119', '62', '790', '522', '904', '697', '278', '140', '777', '459', '707', '313', '467', '719', '38', '324', '922', '267', '812', '863', '60']
['597', '727', '601', '832', '866', '49', '315', '203', '460', '367', '876', '529', '444', '498', '40', '300', '422', '534', '920', '17', '640', '494']
