['902']
['219', '673', '955']
['721', '524', '941']
['15', '368', '305']
['699', '519', '801']
['698', '979', '222']
['430', '514', '776']
['826', '91', '275']
['358', '300', '393']
['882', '500', '866']
['387', '605', '307']
['994', '893', '636']
['526', '211', '672']
['488', '812', '742']
['909', '933', '737']
['515', '593', '60']
['539', '390', '972']
['661', '47', '104']
['486', '496', '456']
['2', '40', '811']
['881', '903', '725']
['331', '485', '793']
['610', '158', '360']
['401', '334', '540']
['477', '611', '580']
['11', '520', '171']
['464', '523', '862']
['995', '444', '630']
['478', '137', '897']
['249', '292', '189']
['572', '846', '777']
['235', '828', '591']
['97', '41', '570']
['612', '765', '551']
['405', '851', '923']
['617', '915', '0']
['541', '180', '527']
['987', '983', '692']
['326', '788', '739']
['27', '553', '857']
['306', '90', '244']
['597', '414', '1']
['937', '323', '317']
['209', '48', '824']
['52', '87', '410']
['287', '202', '366']
['206', '362', '265']
['579', '973', '433']
['567', '431', '763']
['856', '382', '686']
['88', '736', '310']
['607', '989', '853']
['473', '807', '363']
['546', '992', '756']
['132', '724', '20']
['252', '873', '702']
['247', '950', '809']
['935', '900', '234']
['575', '926', '232']
['503', '290', '794']
['425', '469', '918']
['953', '578', '754']
['854', '592', '92']
['286', '910', '481']
['599', '148', '498']
['314', '521', '731']
['406', '596', '908']
['720', '21', '620']
['842', '957', '198']
['845', '56', '396']
['417', '677', '383']
['664', '62', '971']
['283', '73', '687']
['153', '461', '392']
['356', '844', '380']
['28', '637', '977']
['105', '931', '152']
['177', '618', '82']
['215', '342', '67']
['26', '784', '535']
['803', '301', '602']
['507', '688', '114']
['443', '878', '633']
['717', '748', '701']
['84', '974', '492']
['95', '24', '108']
['12', '242', '569']
['730', '50', '351']
['136', '78', '552']
['475', '167', '762']
['655', '264', '609']
['402', '53', '947']
['772', '359', '729']
['200', '374', '487']
['350', '841', '101']
['263', '140', '911']
['375', '119', '936']
['184', '226', '262']
['684', '603', '780']
['495', '107', '565']
['799', '691', '63']
['832', '982', '37']
['203', '483', '6']
['277', '377', '357']
['7', '411', '980']
['978', '710', '156']
['274', '949', '662']
['733', '629', '145']
['259', '17', '889']
['312', '920', '669']
['154', '278', '615']
['711', '590', '385']
['550', '77', '460']
['188', '703', '327']
['723', '867', '658']
['38', '3', '135']
['388', '161', '45']
['797', '146', '49']
['697', '8', '170']
['490', '476', '875']
['522', '98', '755']
['778', '536', '435']
['564', '963', '861']
['872', '409', '339']
['892', '517', '632']
['261', '42', '155']
['641', '948', '970']
['489', '466', '858']
['958', '165', '94']
['816', '429', '303']
['583', '786', '103']
['719', '743', '86']
['470', '183', '64']
['446', '865', '506']
['474', '418', '924']
['547', '744', '751']
['115', '421', '774']
['191', '932', '639']
['43', '840', '790']
['364', '627', '558']
['318', '29', '25']
['467', '653', '10']
['61', '887', '70']
['371', '586', '212']
['683', '631', '595']
['181', '874', '447']
['434', '510', '39']
['718', '102', '622']
['634', '709', '659']
['674', '781', '817']
['228', '638', '707']
['956', '652', '715']
['185', '284', '822']
['771', '895', '370']
['96', '160', '449']
['197', '333', '656']
['89', '296', '345']
['126', '952', '508']
['625', '678', '905']
['46', '726', '221']
['594', '836', '199']
['459', '555', '315']
['589', '423', '457']
['619', '961', '766']
['282', '967', '917']
['775', '354', '237']
['907', '532', '773']
['319', '533', '74']
['806', '635', '696']
['51', '122', '16']
['35', '412', '210']
['299', '764', '722']
['608', '116', '769']
['398', '649', '753']
['332', '614', '106']
['981', '800', '965']
['814', '916', '113']
['986', '76', '716']
['879', '883', '367']
['954', '651', '295']
['504', '660', '513']
['815', '604', '422']
['877', '571', '448']
['451', '267', '906']
['269', '373', '164']
['250', '663', '976']
['204', '951', '93']
['266', '111', '871']
['419', '13', '420']
['727', '818', '945']
['18', '352', '559']
['820', '280', '162']
['813', '847', '901']
['894', '428', '407']
['679', '58', '316']
['208', '230', '573']
['966', '975', '400']
['424', '65', '560']
['704', '732', '348']
['896', '378', '436']
['279', '416', '750']
['298', '471', '344']
['272', '779', '112']
['930', '285', '914']
['142', '127', '194']
['426', '529', '32']
['758', '125', '190']
['991', '123', '690']
['110', '705', '808']
['193', '174', '795']
['819', '134', '311']
['322', '562', '196']
['741', '960', '728']
['782', '149', '934']
['72', '624', '313']
['141', '129', '9']
['5', '643', '587']
['770', '166', '837']
['452', '964', '761']
['427', '929', '621']
['144', '255', '399']
['738', '749', '217']
['885', '338', '869']
['499', '898', '355']
['694', '133', '395']
['131', '151', '346']
['330', '391', '4']
['525', '805', '341']
['563', '582', '899']
['229', '904', '984']
['891', '361', '44']
['671', '57', '403']
['347', '440', '233']
['946', '394', '868']
['124', '468', '645']
['99', '925', '890']
['864', '823', '22']
['130', '432', '689']
['245', '80', '236']
['218', '389', '270']
['962', '616', '585']
['760', '512', '227']
['538', '501', '404']
['372', '584', '75']
['79', '213', '343']
['340', '913', '759']
['509', '600', '870']
['561', '747', '667']
['34', '143', '353']
['281', '187', '276']
['598', '81', '246']
['544', '260', '413']
['557', '289', '455']
['548', '802', '574']
['297', '880', '919']
['214', '453', '577']
['922', '83', '647']
['601', '835', '833']
['71', '927', '606']
['821', '581', '528']
['128', '886', '848']
['163', '257', '308']
['502', '855', '138']
['117', '556', '223']
['767', '258', '566']
['838', '23', '888']
['150', '118', '349']
['997', '576', '648']
['850', '693', '337']
['650', '757', '990']
['543', '33', '19']
['365', '450', '59']
['179', '207', '940']
['14', '465', '494']
['554', '438', '186']
['172', '876', '442']
['810', '271', '642']
['397', '680', '241']
['157', '675', '665']
['294', '415', '484']
['511', '682', '243']
['192', '530', '251']
['238', '173', '860']
['516', '369', '175']
['988', '746', '831']
['324', '445', '588']
['408', '700', '998']
['168', '231', '745']
['676', '518', '248']
['928', '458', '830']
['256', '239', '291']
['120', '849', '463']
['993', '309', '839']
['288', '379', '195']
['568', '205', '534']
['644', '804', '640']
['68', '827', '169']
['254', '944', '787']
['969', '613', '943']
['912', '176', '268']
['69', '384', '942']
['654', '85', '796']
['159', '225', '685']
['783', '201', '240']
['549', '472', '708']
['493', '792', '321']
['752', '273', '325']
['302', '30', '220']
['100', '938', '36']
['335', '623', '798']
['482', '999', '646']
['480', '657', '666']
['462', '921', '328']
['859', '884', '491']
['785', '628', '712']
['626', '55', '939']
['376', '437', '714']
['695', '959', '537']
['109', '852', '147']
['545', '968', '216']
['505', '497', '224']
['304', '985', '735']
['454', '386', '139']
['182', '713', '178']
['441', '121', '31']
['479', '706', '681']
['66', '54', '789']
['791', '996', '293']
['734', '381', '329']
['834', '531', '253']
['768', '740', '825']
['843', '336', '863']
['670', '668', '320']
['439', '542', '829']
