['82', '835']
['143', '769', '310', '515', '843', '781', '410', '773', '865', '421', '119', '543', '933', '786', '241', '198', '682', '162', '909', '755', '618', '816', '656', '139', '38', '306', '826', '329', '951', '861', '695', '49']
['860', '446', '623', '491', '12', '798', '531', '665', '417', '762', '533', '42', '52', '508', '350', '205', '927', '890', '55', '498', '374', '959', '370', '864', '738', '309', '470', '398', '184', '375', '161', '931']
['457', '694', '732', '336', '456', '701', '473', '34', '852', '103', '662', '322', '690', '524', '600', '311', '148', '333', '839', '723', '858', '744', '628', '163', '741', '30', '634', '147', '504', '194', '435', '801']
['692', '283', '385', '360', '291', '862', '261', '167', '166', '808', '869', '74', '492', '474', '792', '633', '257', '725', '427', '331', '217', '914', '509', '547', '156', '26', '152', '299', '902', '693', '636', '546']
['426', '922', '846', '50', '710', '805', '316', '626', '532', '154', '340', '99', '255', '877', '230', '484', '36', '663', '405', '79', '503', '97', '697', '383', '892', '616', '840', '820', '689', '481', '630', '104']
['280', '202', '844', '159', '355', '105', '308', '954', '572', '404', '911', '262', '180', '581', '351', '799', '617', '646', '125', '836', '908', '647', '638', '824', '606', '735', '251', '704', '916', '936', '779', '921']
['577', '774', '918', '81', '809', '441', '188', '47', '679', '957', '715', '698', '699', '123', '560', '263', '19', '650', '149', '447', '235', '13', '272', '578', '661', '499', '612', '69', '707', '242', '713', '654']
['327', '879', '189', '411', '570', '926', '776', '250', '653', '213', '275', '29', '505', '714', '906', '27', '197', '734', '260', '67', '22', '845', '660', '354', '885', '901', '214', '178', '889', '549', '472', '821']
['594', '490', '664', '934', '193', '71', '3', '186', '86', '859', '256', '944', '667', '466', '0', '464', '883', '523', '452', '88', '557', '871', '870', '37', '730', '791', '717', '341', '760', '102', '31', '190']
['144', '134', '535', '302', '378', '377', '41', '216', '380', '756', '440', '518', '313', '632', '802', '233', '175', '766', '895', '305', '550', '562', '881', '396', '527', '853', '740', '438', '24', '367', '59', '265']
['651', '608', '767', '485', '328', '652', '554', '477', '222', '813', '486', '63', '873', '551', '720', '794', '458', '44', '281', '566', '278', '286', '423', '747', '219', '436', '362', '880', '758', '72', '687', '357']
['516', '728', '544', '512', '678', '825', '18', '181', '373', '519', '54', '763', '303', '319', '387', '930', '540', '101', '358', '827', '488', '430', '937', '238', '176', '942', '243', '637', '16', '842', '657', '315']
