['432']
['218', '481', '273', '21', '192', '493', '139', '352', '477', '199']
['433', '249', '71', '125', '176', '348', '451', '226', '0', '327']
['314', '436', '196', '335', '347', '107', '336', '337', '160', '181']
['63', '90', '270', '206', '318', '170', '323', '276', '19', '242']
['366', '241', '392', '367', '183', '470', '9', '161', '338', '472']
['287', '295', '459', '334', '330', '132', '248', '2', '14', '245']
['341', '415', '261', '280', '230', '228', '471', '142', '267', '172']
['296', '140', '49', '222', '328', '29', '82', '10', '310', '442']
['438', '404', '369', '101', '274', '43', '466', '420', '220', '492']
['1', '309', '93', '414', '156', '427', '55', '351', '159', '360']
['244', '190', '383', '345', '401', '421', '149', '264', '201', '250']
['48', '364', '45', '286', '448', '489', '258', '265', '154', '381']
['36', '113', '162', '227', '389', '494', '121', '271', '376', '298']
['41', '205', '332', '317', '53', '76', '277', '80', '288', '359']
['175', '179', '447', '209', '233', '405', '184', '213', '393', '308']
['315', '62', '150', '216', '217', '329', '202', '269', '155', '349']
['7', '402', '473', '378', '30', '464', '350', '188', '410', '166']
['439', '418', '416', '491', '382', '282', '89', '396', '397', '128']
['398', '26', '178', '106', '300', '476', '198', '182', '462', '79']
['221', '117', '163', '495', '463', '109', '108', '20', '164', '219']
['377', '87', '458', '129', '114', '236', '342', '65', '239', '301']
['343', '75', '358', '22', '429', '61', '52', '83', '104', '67']
['255', '474', '112', '111', '194', '485', '387', '391', '68', '357']
['333', '46', '262', '321', '326', '77', '434', '435', '12', '120']
['141', '130', '430', '469', '110', '11', '275', '215', '56', '157']
['400', '5', '278', '368', '70', '254', '64', '97', '372', '385']
['147', '354', '390', '353', '3', '456', '313', '193', '134', '86']
['54', '145', '185', '423', '225', '200', '195', '173', '127', '151']
['92', '268', '35', '468', '496', '361', '482', '399', '133', '229']
['214', '461', '408', '116', '344', '23', '251', '380', '240', '428']
['38', '422', '99', '394', '478', '50', '263', '339', '31', '446']
['148', '74', '197', '407', '370', '355', '171', '44', '331', '316']
['28', '272', '259', '135', '57', '409', '266', '136', '84', '143']
['16', '294', '444', '102', '13', '169', '98', '297', '4', '237']
['302', '260', '204', '479', '253', '247', '467', '51', '299', '465']
['42', '395', '363', '403', '374', '186', '165', '34', '37', '144']
['289', '25', '498', '487', '8', '118', '115', '460', '91', '174']
['324', '455', '27', '475', '123', '234', '413', '454', '346', '85']
['291', '293', '126', '486', '431', '96', '119', '490', '285', '320']
['307', '224', '304', '319', '480', '18', '292', '437', '146', '412']
['100', '95', '168', '124', '94', '322', '488', '417', '73', '59']
['445', '238', '158', '290', '40', '449', '411', '210', '356', '373']
['365', '243', '177', '312', '122', '81', '187', '88', '66', '441']
['305', '180', '131', '484', '450', '191', '371', '375', '208', '153']
['388', '256', '47', '33', '207', '152', '457', '379', '231', '303']
['424', '311', '340', '306', '440', '386', '189', '419', '6', '60']
['72', '17', '384', '32', '138', '279', '283', '103', '325', '167']
['452', '362', '58', '257', '284', '212', '232', '39', '24']
['281', '137', '497', '499', '223', '105', '453', '78', '252', '69']
['426', '483', '425', '211', '443', '203', '406', '246', '235', '15']
