['561', '588', '357', '457', '611', '396', '578']
['275', '309', '185', '638', '20', '461', '161']
['114', '217', '549', '274', '85', '337', '172']
['573', '18', '368', '394', '35', '668', '486']
['177', '44', '248', '448', '113', '296', '143']
['548', '569', '523', '316', '183', '244', '491']
['68', '263', '204', '153', '23', '434', '367']
['435', '504', '21', '397', '418', '47', '443']
['554', '27', '227', '144', '223', '562', '349']
['671', '536', '493', '359', '533', '45', '471']
['454', '242', '492', '630', '501', '439', '188']
['436', '317', '278', '293', '441', '547', '502']
['325', '256', '219', '572', '550', '399', '226']
['53', '581', '661', '458', '80', '557', '613']
['589', '170', '657', '305', '374', '663', '322']
['54', '163', '646', '636', '264', '321', '78']
['649', '555', '71', '495', '601', '93', '645']
['34', '262', '628', '603', '508', '232', '286']
['299', '11', '580', '200', '61', '583', '251']
['497', '36', '500', '182', '371', '579', '362']
['102', '560', '652', '291', '173', '558', '12']
['48', '577', '133', '72', '542', '469', '480']
['156', '307', '616', '77', '160', '354', '255']
['592', '261', '169', '140', '66', '633', '383']
['590', '490', '676', '151', '234', '591', '427']
['420', '365', '166', '260', '699', '119', '625']
['56', '224', '599', '545', '212', '273', '292']
['584', '586', '225', '33', '259', '24', '95']
['146', '442', '279', '635', '84', '629', '596']
['228', '287', '126', '6', '135', '509', '312']
['97', '428', '585', '517', '41', '658', '108']
['395', '413', '623', '257', '446', '600', '175']
['213', '621', '311', '559', '552', '406', '17']
['282', '51', '475', '240', '306', '289', '370']
['426', '376', '26', '58', '594', '651', '174']
['326', '648', '514', '346', '107', '4', '564']
['468', '670', '609', '606', '363', '237', '245']
['503', '195', '297', '432', '637', '184', '669']
['269', '641', '673', '73', '481', '115', '672']
['520', '125', '421', '318', '32', '181', '206']
['315', '152', '233', '147', '198', '320', '288']
['130', '574', '111', '29', '355', '40', '319']
['640', '211', '409', '505', '7', '304', '8']
['539', '659', '222', '98', '694', '342', '683']
['524', '5', '192', '400', '0', '105', '677']
['332', '167', '682', '196', '360', '141', '271']
['604', '644', '270', '391', '565', '535', '50']
['87', '145', '109', '92', '1', '519', '30']
['39', '411', '445', '479', '489', '571', '10']
['612', '499', '250', '116', '230', '382', '150']
['642', '410', '473', '19', '154', '467', '691']
['179', '378', '487', '55', '210', '129', '398']
['665', '294', '165', '364', '333', '341', '324']
['532', '513', '106', '423', '209', '485', '692']
['138', '178', '81', '148', '393', '451', '314']
['412', '512', '546', '472', '697', '194', '650']
['267', '456', '608', '49', '239', '216', '79']
['89', '117', '570', '516', '323', '587', '639']
['678', '689', '356', '615', '76', '401', '82']
['121', '193', '207', '610', '340', '614', '681']
['372', '507', '134', '620', '655', '551', '403']
['417', '593', '96', '430', '377', '662', '101']
['384', '128', '566', '243', '229', '112', '64']
['331', '298', '415', '643', '191', '627', '339']
['155', '300', '231', '617', '159', '660', '158']
['459', '86', '94', '494', '483', '186', '385']
['214', '567', '444', '13', '437', '283', '674']
['201', '605', '455', '330', '575', '22', '688']
['553', '258', '303', '653', '419', '563', '607']
['327', '414', '247', '249', '139', '208', '402']
['361', '373', '686', '618', '429', '176', '602']
['276', '666', '2', '358', '447', '353', '498']
['284', '438', '664', '543', '252', '405', '679']
['308', '187', '416', '90', '556', '132', '344']
['122', '99', '465', '235', '518', '52', '462']
['123', '632', '70', '46', '576', '328', '203']
['515', '388', '302', '63', '189', '65', '478']
['120', '541', '511', '168', '380', '127', '118']
['506', '433', '218', '408', '57', '534', '268']
['392', '164', '83', '28', '42', '345', '246']
['684', '69', '582', '236', '137', '496', '526']
['37', '157', '510', '449', '190', '474', '171']
['685', '568', '450', '595', '531', '656', '254']
['313', '693', '14', '295', '482', '647', '343']
['530', '25', '350', '124', '425', '690', '667']
['626', '453', '624', '680', '329', '110', '197']
['598', '136', '452', '619', '220', '477', '205']
['60', '253', '348', '422', '431', '215', '387']
['687', '104', '695', '91', '470', '290', '476']
['3', '379', '162', '347', '597', '525', '277']
['62', '528', '522', '88', '463', '622', '540']
['375', '460', '238', '631', '440', '16', '352']
['149', '221', '199', '9', '369', '15', '103']
['266', '544', '634', '335', '351', '366', '529']
['180', '381', '280', '241', '389', '488', '38']
['390', '281', '334', '74', '521', '100', '142']
['404', '464', '654', '386', '265', '675', '131']
['484', '527', '285', '202', '338', '537', '696']
['698', '424', '301', '67', '336', '538', '310']
['31', '43', '407', '466', '59', '75', '272']
