['786']
['872', '967', '492', '557', '503', '637', '463', '183', '129', '979', '51', '747', '992', '344', '846', '722', '204', '404', '698', '553', '832', '654', '598', '925', '44', '530', '6', '462', '917', '645', '586', '505', '862', '591', '615', '771', '151', '616', '718', '2']
['31', '157', '28', '899', '784', '256', '912', '221', '318', '292', '170', '756', '864', '217', '90', '970', '618', '246', '56', '488', '651', '421', '168', '182', '636', '640', '683', '92', '37', '958', '903', '138', '807', '466', '361', '337', '440', '816', '321', '635', '859', '885', '751', '863', '685', '367', '539', '469', '516', '675', '495', '464', '280', '543', '573', '512', '419', '914', '647', '937']
['946', '87', '333', '272', '546', '255', '332', '259', '775', '628', '799', '884', '630', '887', '502', '213', '411', '768', '692', '423', '879', '161', '527', '820', '236', '794', '102', '709', '599', '21', '98', '758', '453', '795', '734', '343', '648', '500', '140', '811', '379', '652', '904', '126', '476', '836', '416', '295', '822', '839', '356', '861', '581', '985', '305', '281', '169', '604', '941', '964']
['857', '596', '871', '993', '597', '646', '392', '223', '245', '370', '950', '894', '518', '139', '479', '684', '783', '617', '584', '41', '153', '240', '882', '623', '451', '740', '782', '753', '874', '825', '916', '386', '450', '310', '422', '260', '541', '641', '20', '35', '270', '123', '77', '610', '858', '483', '415', '774', '560', '0', '189', '19', '725', '626', '736', '307', '796', '23', '324', '497']
['865', '91', '910', '181', '738', '693', '561', '4', '540', '329', '180', '300', '580', '754', '369', '769', '192', '61', '773', '399', '545', '902', '133', '961', '984', '78', '892', '400', '336', '159', '643', '287', '574', '346', '809', '473', '233', '378', '334', '924', '82', '737', '188', '258', '785', '534', '491', '125', '25', '564', '659', '531', '385', '653', '52', '482', '67', '672', '395', '501']
['831', '963', '681', '71', '900', '454', '202', '282', '283', '75', '506', '504', '446', '431', '746', '262', '472', '174', '949', '649', '226', '920', '150', '520', '68', '828', '570', '437', '417', '980', '667', '271', '428', '9', '79', '943', '932', '976', '406', '490', '167', '741', '829', '612', '225', '371', '480', '115', '314', '896', '340', '571', '705', '973', '658', '277', '212', '763', '962', '922']
['898', '593', '731', '465', '3', '244', '124', '54', '146', '455', '143', '402', '264', '524', '666', '62', '365', '991', '99', '24', '445', '45', '676', '770', '238', '696', '947', '247', '49', '191', '627', '893', '69', '707', '555', '544', '350', '198', '600', '575', '603', '53', '802', '85', '942', '403', '716', '712', '868', '197', '215', '358', '214', '944', '860', '194', '338', '812', '677', '147']
['253', '142', '797', '551', '383', '18', '969', '499', '237', '1', '855', '158', '837', '724', '303', '8', '765', '521', '267', '468', '493', '152', '998', '720', '748', '804', '179', '762', '522', '42', '814', '510', '227', '34', '229', '919', '739', '196', '352', '105', '878', '177', '787', '230', '848', '384', '532', '952', '936', '353', '576', '759', '678', '538', '13', '682', '186', '306', '299', '940']
['459', '251', '394', '972', '607', '974', '27', '391', '297', '211', '88', '847', '742', '664', '554', '883', '162', '273', '322', '694', '766', '507', '388', '279', '173', '141', '408', '915', '911', '788', '840', '907', '680', '888', '436', '316', '134', '905', '918', '301', '897', '325', '335', '691', '852', '232', '701', '808', '978', '418', '59', '880', '218', '425', '714', '793', '312', '511', '261', '309']
['688', '249', '420', '427', '558', '987', '97', '728', '155', '661', '66', '434', '407', '216', '429', '405', '760', '929', '995', '686', '687', '144', '112', '850', '851', '448', '665', '328', '689', '442', '401', '909', '203', '40', '644', '235', '601', '509', '433', '119', '749', '60', '357', '81', '818', '605', '36', '319', '106', '460', '156', '209', '382', '172', '870', '566', '587', '17', '103', '835']
['708', '414', '458', '424', '817', '163', '968', '187', '953', '387', '800', '376', '556', '222', '876', '981', '373', '360', '447', '486', '935', '302', '184', '631', '474', '629', '988', '660', '614', '231', '923', '362', '744', '456', '380', '906', '824', '330', '632', '523', '381', '441', '710', '243', '205', '608', '778', '487', '669', '674', '975', '621', '366', '625', '304', '854', '697', '127', '242', '275']
['619', '435', '801', '525', '789', '515', '730', '412', '118', '723', '908', '611', '252', '526', '375', '514', '110', '931', '528', '16', '323', '877', '547', '311', '727', '5', '410', '989', '821', '374', '268', '74', '983', '278', '363', '655', '135', '719', '933', '548', '14', '481', '109', '926', '819', '308', '164', '345', '959', '94', '89', '568', '269', '234', '250', '461', '777', '977', '856', '638']
