['523', '331', '299', '998', '980']
['372', '109', '733', '509', '821']
['440', '832', '842', '239', '237']
['574', '177', '570', '607', '478']
['127', '257', '827', '665', '429']
['543', '806', '464', '174', '28']
['107', '681', '303', '737', '512']
['491', '336', '339', '206', '132']
['420', '449', '229', '731', '153']
['557', '164', '919', '0', '298']
['261', '649', '362', '401', '383']
['547', '278', '13', '610', '626']
['804', '30', '839', '811', '599']
['691', '501', '213', '685', '419']
['144', '724', '134', '253', '150']
['645', '436', '90', '197', '42']
['388', '609', '979', '466', '266']
['471', '962', '428', '818', '412']
['320', '580', '990', '872', '87']
['485', '918', '130', '166', '152']
['472', '483', '459', '518', '56']
['451', '553', '823', '393', '282']
['945', '568', '205', '125', '316']
['405', '875', '738', '385', '999']
['198', '434', '322', '149', '73']
['352', '129', '40', '452', '93']
['594', '94', '418', '563', '915']
['202', '435', '342', '575', '218']
['669', '258', '558', '131', '787']
['695', '920', '52', '446', '585']
['53', '81', '160', '351', '590']
['869', '988', '389', '395', '977']
['867', '304', '200', '652', '146']
['747', '279', '766', '99', '864']
['497', '748', '687', '923', '68']
['605', '324', '72', '433', '582']
['932', '97', '828', '44', '182']
['402', '307', '743', '313', '969']
['647', '162', '955', '927', '323']
['783', '976', '786', '417', '268']
['423', '762', '532', '615', '312']
['834', '185', '61', '104', '746']
['550', '169', '190', '952', '308']
['674', '825', '549', '504', '70']
['117', '254', '184', '270', '38']
['874', '616', '34', '624', '890']
['572', '133', '248', '888', '802']
['729', '769', '774', '226', '116']
['374', '820', '926', '167', '584']
['286', '742', '644', '461', '750']
['656', '71', '505', '707', '404']
['192', '941', '195', '76', '207']
['807', '26', '817', '667', '838']
['895', '424', '884', '123', '80']
['709', '31', '953', '627', '5']
['760', '889', '958', '552', '515']
['773', '231', '524', '234', '710']
['778', '345', '855', '108', '296']
['508', '240', '172', '325', '36']
['493', '759', '960', '443', '21']
['170', '367', '797', '871', '699']
['975', '27', '940', '366', '382']
['968', '803', '712', '595', '516']
['110', '634', '201', '228', '680']
['850', '527', '183', '996', '526']
['843', '212', '745', '560', '111']
['241', '39', '994', '686', '84']
['541', '88', '243', '1', '119']
['688', '805', '520', '598', '708']
['222', '529', '938', '628', '637']
['49', '845', '101', '822', '701']
['488', '780', '777', '252', '265']
['399', '477', '295', '870', '989']
['288', '579', '984', '236', '525']
['798', '360', '666', '576', '498']
['143', '967', '600', '106', '675']
['209', '841', '612', '92', '719']
['633', '868', '789', '275', '736']
['885', '622', '140', '629', '511']
['467', '403', '835', '462', '23']
['846', '318', '668', '416', '122']
['540', '684', '148', '425', '542']
['735', '664', '232', '586', '484']
['770', '463', '225', '713', '618']
['387', '655', '812', '135', '758']
['716', '679', '614', '332', '694']
['554', '309', '69', '189', '314']
['741', '767', '105', '500', '96']
['124', '380', '957', '221', '358']
['887', '860', '630', '194', '273']
['662', '6', '118', '913', '474']
['65', '495', '357', '943', '510']
['730', '103', '15', '639', '538']
['755', '292', '775', '901', '215']
['33', '866', '933', '438', '772']
['75', '972', '430', '196', '390']
['365', '19', '916', '982', '35']
['973', '564', '16', '210', '375']
['987', '761', '661', '348', '486']
['992', '445', '899', '559', '873']
['216', '898', '587', '128', '422']
['242', '793', '734', '340', '368']
['826', '902', '290', '151', '555']
['468', '494', '536', '137', '481']
['638', '782', '82', '859', '880']
['409', '891', '578', '300', '363']
['997', '284', '631', '457', '776']
['338', '115', '697', '946', '648']
['533', '86', '636', '159', '181']
['562', '534', '376', '905', '751']
['910', '343', '344', '641', '250']
['442', '211', '606', '364', '489']
['361', '114', '349', '48', '848']
['623', '245', '964', '993', '408']
['896', '450', '64', '625', '260']
['617', '179', '158', '840', '857']
['942', '676', '548', '479', '620']
['912', '935', '274', '29', '79']
['83', '937', '246', '790', '985']
['577', '784', '571', '551', '809']
['903', '199', '613', '670', '908']
['514', '373', '473', '377', '85']
['330', '244', '233', '378', '480']
['756', '974', '155', '711', '653']
['854', '41', '112', '227', '8']
['475', '682', '833', '321', '981']
['502', '796', '715', '836', '407']
['161', '346', '302', '139', '851']
['894', '596', '54', '214', '22']
['934', '142', '447', '138', '619']
['203', '165', '844', '341', '963']
['852', '865', '689', '858', '14']
['906', '306', '178', '757', '397']
['671', '335', '678', '280', '971']
['55', '20', '897', '771', '815']
['862', '907', '531', '986', '311']
['722', '255', '765', '287', '693']
['792', '597', '141', '856', '482']
['176', '3', '102', '2', '398']
['528', '503', '956', '654', '861']
['785', '849', '651', '431', '702']
['728', '947', '223', '961', '51']
['454', '32', '78', '573', '819']
['853', '193', '881', '517', '11']
['565', '319', '754', '928', '659']
['98', '794', '220', '703', '145']
['601', '808', '439', '413', '465']
['180', '297', '995', '763', '732']
['47', '249', '326', '537', '100']
['496', '217', '924', '911', '432']
['12', '931', '444', '939', '556']
['283', '879', '7', '487', '566']
['561', '660', '18', '235', '781']
['683', '608', '95', '567', '301']
['698', '441', '267', '591', '800']
['294', '67', '604', '768', '281']
['406', '830', '187', '863', '917']
['692', '421', '824', '262', '813']
['269', '400', '700', '545', '593']
['603', '334', '632', '230', '57']
['126', '470', '355', '490', '657']
['186', '507', '944', '672', '329']
['315', '354', '930', '959', '876']
['739', '723', '883', '476', '658']
['24', '831', '814', '696', '17']
['837', '677', '381', '764', '749']
['847', '744', '725', '970', '46']
['882', '720', '4', '829', '640']
['411', '886', '58', '893', '877']
['936', '293', '113', '704', '173']
['259', '983', '356', '717', '391']
['673', '752', '74', '238', '892']
['978', '289', '965', '154', '77']
['437', '396', '333', '456', '271']
['264', '925', '492', '60', '394']
['522', '277', '317', '714', '706']
['583', '10', '426', '900', '337']
['359', '219', '650', '914', '163']
['458', '948', '810', '539', '89']
['663', '247', '801', '43', '328']
['147', '799', '991', '642', '909']
['175', '50', '59', '581', '949']
['721', '25', '795', '455', '753']
['291', '208', '37', '635', '588']
['410', '448', '415', '120', '171']
['705', '499', '327', '371', '263']
['63', '929', '188', '788', '589']
['530', '966', '726', '392', '513']
['592', '621', '305', '519', '904']
['156', '310', '204', '535', '569']
['276', '414', '9', '922', '643']
['224', '136', '45', '370', '727']
['384', '460', '168', '950', '816']
['878', '611', '62', '191', '779']
['602', '285', '272', '951', '453']
['350', '954', '427', '379', '546']
['521', '251', '921', '544', '157']
['121', '91', '66', '646', '718']
['690', '353', '347', '369', '256']
['506', '740', '469', '791', '386']
