['179', '16', '669', '627', '689', '176', '996', '607', '210', '258']
['11', '959', '353', '618', '602', '388', '521', '101', '933', '280']
['378', '676', '206', '968', '961', '317', '865', '487', '94', '574']
['69', '164', '737', '56', '979', '932', '43', '986', '905', '566']
['129', '242', '380', '488', '656', '343', '352', '376', '898', '470']
['712', '734', '265', '818', '589', '82', '878', '631', '159', '829']
['944', '799', '286', '461', '708', '946', '744', '541', '539', '435']
['754', '679', '855', '899', '683', '209', '482', '552', '783', '782']
['861', '595', '85', '185', '30', '677', '394', '548', '787', '475']
['448', '334', '78', '658', '875', '424', '603', '684', '462', '584']
['112', '61', '187', '366', '794', '717', '993', '135', '722', '652']
['34', '916', '547', '565', '411', '213', '620', '39', '48', '680']
['436', '901', '270', '311', '391', '414', '529', '296', '386', '109']
['927', '624', '774', '675', '738', '897', '580', '150', '204', '623']
['977', '999', '438', '128', '828', '730', '633', '236', '819', '662']
['285', '948', '51', '816', '699', '32', '840', '89', '811', '454']
['543', '724', '423', '505', '226', '800', '12', '354', '908', '17']
['298', '396', '526', '886', '957', '544', '870', '196', '497', '362']
['912', '971', '775', '400', '668', '23', '493', '126', '281', '726']
['931', '131', '910', '33', '545', '706', '291', '83', '700', '341']
['682', '257', '934', '936', '474', '789', '92', '950', '847', '228']
['615', '872', '834', '716', '498', '306', '858', '218', '188', '383']
['255', '523', '546', '245', '888', '290', '648', '287', '514', '395']
['14', '801', '324', '576', '581', '91', '472', '277', '240', '895']
['433', '421', '590', '208', '536', '745', '451', '970', '392', '852']
['925', '365', '558', '217', '1', '972', '168', '254', '28', '815']
['587', '982', '728', '8', '885', '339', '160', '264', '315', '248']
['785', '485', '610', '646', '517', '562', '714', '134', '762', '808']
['655', '147', '444', '704', '342', '771', '98', '115', '691', '842']
['478', '537', '184', '998', '866', '375', '778', '76', '935', '703']
['678', '40', '22', '100', '650', '161', '661', '215', '199', '385']
['477', '284', '393', '556', '29', '319', '510', '647', '459', '600']
['333', '567', '495', '792', '443', '95', '175', '428', '923', '579']
['359', '666', '19', '907', '44', '824', '417', '509', '825', '909']
['896', '88', '788', '942', '765', '379', '415', '372', '235', '859']
['73', '628', '637', '555', '813', '202', '920', '793', '273', '63']
['917', '725', '710', '367', '827', '171', '569', '501', '911', '638']
['533', '486', '401', '500', '124', '790', '913', '635', '741', '479']
