['185', '174', '406', '45', '255', '337', '533', '531', '360', '373', '77', '219', '481', '616', '292', '415', '606', '329', '144', '44', '685', '276', '347', '688', '479', '719', '223', '474', '96', '446']
['683', '271', '211', '339', '209', '198', '172', '106', '263', '13', '602', '95', '42', '154', '689', '16', '646', '716', '192', '429', '615', '321', '583', '431', '378', '506', '398', '443', '630', '306']
['608', '675', '214', '254', '452', '468', '40', '197', '576', '69', '241', '236', '543', '667', '220', '331', '126', '409', '268', '229', '455', '706', '327', '252', '711', '201', '658', '166', '439', '512']
['349', '194', '546', '188', '85', '307', '247', '299', '274', '330', '569', '717', '233', '340', '170', '707', '262', '70', '507', '643', '114', '269', '644', '587', '375', '235', '438', '168', '647', '367']
['450', '253', '571', '308', '696', '666', '289', '46', '225', '21', '601', '460', '151', '117', '283', '159', '319', '421', '741', '160', '419', '47', '403', '314', '101', '684', '380', '585', '591', '157']
['463', '544', '210', '49', '418', '713', '549', '231', '578', '492', '179', '582', '150', '428', '399', '43', '139', '242', '444', '714', '54', '332', '90', '480', '610', '104', '129', '397', '612', '500']
['384', '272', '6', '702', '603', '747', '599', '693', '493', '536', '354', '258', '23', '372', '448', '376', '484', '228', '620', '279', '516', '341', '490', '656', '133', '472', '8', '659', '485', '534']
['632', '260', '282', '275', '401', '554', '462', '234', '746', '208', '494', '363', '404', '230', '189', '469', '352', '65', '517', '577', '180', '405', '715', '555', '471', '592', '565', '482', '678', '661']
['298', '526', '563', '442', '679', '627', '497', '71', '604', '617', '503', '677', '89', '1', '568', '35', '240', '56', '720', '408', '595', '24', '625', '218', '148', '202', '393', '110', '64', '727']
['721', '118', '136', '432', '357', '325', '124', '382', '470', '31', '381', '57', '250', '261', '145', '127', '73', '589', '593', '287', '590', '67', '743', '10', '184', '84', '532', '217', '663', '52']
['112', '540', '86', '451', '520', '528', '88', '203', '729', '495', '115', '163', '390', '323', '560', '724', '26', '324', '83', '638', '623', '246', '558', '698', '371', '284', '53', '396', '248', '609']
['301', '204', '25', '4', '195', '249', '190', '162', '718', '61', '366', '102', '338', '138', '458', '537', '92', '356', '359', '171', '712', '651', '0', '654', '545', '527', '239', '511', '388', '169']
['237', '530', '437', '173', '196', '635', '548', '695', '206', '91', '15', '348', '622', '326', '122', '193', '454', '3', '147', '32', '304', '486', '491', '66', '680', '738', '420', '41', '368', '694']
['355', '655', '681', '285', '551', '320', '567', '75', '624', '256', '525', '277', '538', '158', '55', '216', '648', '633', '186', '605', '586', '440', '621', '550', '281', '510', '449', '653', '310', '657']
['22', '273', '674', '502', '161', '290', '389', '222', '594', '103', '344', '628', '226', '119', '369', '552', '395', '300', '671', '588', '556', '137', '699', '400', '501', '498', '9', '597', '76', '730']
['504', '107', '575', '207', '227', '60', '288', '316', '51', '662', '374', '580', '135', '642', '270', '370', '328', '80', '634', '686', '650', '613', '476', '259', '459', '668', '645', '36', '81', '383']
['317', '477', '78', '547', '143', '692', '14', '34', '734', '167', '652', '535', '224', '639', '7', '50', '205', '302', '725', '125', '312', '682', '611', '425', '691', '579', '748', '12', '676', '134']
['521', '39', '364', '697', '94', '736', '238', '177', '251', '108', '723', '123', '257', '522', '97', '27', '731', '294', '542', '483', '315', '212', '559', '423', '467', '155', '291', '584', '441', '700']
['514', '508', '710', '303', '436', '153', '541', '410', '670', '29', '309', '58', '213', '116', '266', '286', '346', '416', '87', '649', '631', '740', '487', '351', '5', '175', '553', '336', '394', '669']
['564', '385', '737', '164', '377', '132', '387', '739', '539', '598', '181', '619', '457', '18', '264', '411', '131', '358', '305', '362', '519', '68', '513', '30', '417', '19', '515', '701', '687', '427']
['722', '353', '626', '473', '392', '79', '447', '461', '435', '111', '453', '414', '335', '293', '28', '245', '17', '430', '618', '581', '243', '509', '572', '11', '407', '232', '350', '318', '98', '673']
['402', '120', '499', '412', '445', '141', '733', '187', '342', '311', '704', '121', '489', '709', '20', '636', '365', '570', '178', '465', '424', '705', '456', '637', '165', '726', '641', '386', '128', '434']
['345', '566', '191', '573', '295', '221', '433', '475', '48', '596', '63', '59', '426', '732', '660', '607', '518', '749', '735', '379', '280', '244', '130', '297', '38', '703', '361', '278', '690', '156']
['183', '629', '562', '524', '215', '665', '313', '140', '466', '152', '72', '574', '640', '146', '496', '93', '413', '33', '105', '2', '142', '557', '322', '505', '529', '176', '149', '182', '391', '600']
['488', '614', '296', '265', '672', '109', '200', '343', '422', '100', '267', '37', '99', '523', '478', '199', '744', '113', '464', '728', '82', '62', '745', '333', '742', '664', '74', '334', '708', '561']
