['184']
['599']
['39']
['128']
['16']
['96']
['673']
['361']
['664']
['332']
['439']
['572']
['499']
['227']
['41']
['792']
['519']
['146', '324', '118', '552', '734', '85', '122', '521', '536']
['219', '190', '773', '26', '256', '712', '560', '392', '221', '601']
['191', '169', '236', '549', '457', '648', '562', '61', '757', '553']
['502', '797', '274', '206', '200', '203', '761', '218', '34', '528']
['687', '365', '164', '265', '143', '319', '386', '637', '464', '397']
['776', '435', '584', '357', '140', '715', '567', '608', '335', '762']
['246', '690', '436', '31', '24', '412', '483', '103', '296', '480']
['54', '98', '232', '35', '350', '465', '272', '293', '208', '7']
['737', '729', '125', '199', '279', '13', '291', '618', '735', '789']
['713', '348', '326', '718', '167', '775', '79', '196', '369', '415']
['275', '503', '303', '752', '215', '295', '76', '108', '211', '721']
['701', '643', '510', '345', '421', '285', '343', '514', '60', '416']
['327', '623', '682', '401', '59', '545', '794', '101', '379', '276']
['600', '30', '656', '247', '383', '758', '187', '424', '337', '744']
['517', '624', '106', '490', '92', '481', '139', '576', '498', '180']
['772', '451', '178', '391', '613', '102', '44', '250', '427', '524']
['72', '597', '297', '443', '638', '40', '530', '433', '493', '453']
['325', '195', '461', '696', '655', '310', '127', '513', '241', '159']
['467', '667', '590', '784', '786', '181', '796', '347', '508', '142']
['445', '266', '116', '29', '32', '759', '745', '658', '64', '740']
['561', '257', '356', '83', '300', '62', '550', '99', '323', '497']
['449', '385', '408', '632', '249', '778', '155', '653', '243', '287']
['588', '571', '354', '683', '726', '170', '476', '782', '410', '258']
['693', '177', '115', '582', '463', '12', '166', '558', '65', '411']
['617', '516', '669', '705', '479', '320', '697', '639', '131', '117']
['306', '459', '81', '622', '45', '105', '104', '341']
['485', '606', '488', '38', '414', '764', '393', '529', '389', '352']
['746', '535', '753', '748', '288', '515', '75', '27', '253', '494']
['129', '87', '233', '692', '302', '69', '602', '767', '210', '492']
['86', '68', '6', '267', '781', '791', '217', '544', '657', '399']
['689', '185', '234', '626', '470', '132', '301', '594', '114', '477']
['281', '161', '546', '741', '566', '149', '151', '650', '314', '774']
['50', '487', '640', '58', '629', '160', '261', '84', '252', '355']
['738', '452', '405', '147', '785', '474', '176', '5', '491', '526']
['2', '25', '156', '642', '254', '612', '724', '316', '654', '14']
['783', '727', '538', '790', '661', '55', '751', '407', '680', '631']
['67', '711', '205', '700', '406', '423', '448', '248', '747', '78']
['91', '509', '130', '523', '3', '198', '49', '739', '315', '573']
['171', '556', '547', '677', '231', '554', '284', '271', '586', '598']
['150', '714', '37', '52', '630', '192', '540', '486', '235', '732']
['135', '4', '633', '675', '173', '222', '93', '725', '473', '298']
['454', '312', '717', '153', '309', '511', '413', '755', '28', '765']
['684', '437', '760', '577', '186', '707', '593', '294', '175', '74']
['321', '71', '43', '533', '668', '270', '671', '420', '158', '109']
['434', '204', '768', '255', '273', '228', '318', '329', '750', '183']
['731', '154', '450', '539', '609']
['94', '338', '77', '649', '376', '344', '382', '621', '33', '182']
['605', '245', '447', '353', '264', '471', '770', '0', '366', '136']
['259', '17', '107', '699', '224', '36', '496', '595', '162', '543']
['120', '769', '110', '557', '670', '742', '542', '749', '322', '756']
['417', '660', '698', '9', '364', '374', '133', '646', '674', '569']
['188', '564', '230', '289', '244', '1', '360', '394', '507', '21']
['777', '395', '532', '48', '763', '438', '367', '239', '766', '260']
['798', '100', '719', '472', '706', '165', '197', '213', '527', '603']
['339', '469', '53', '501', '419', '18', '702', '372', '390', '793']
['709', '641', '551', '478', '456', '585', '238', '283', '226', '342']
['194', '216', '334', '730']
['691', '458', '518', '212', '148', '305', '610', '604']
['121', '346', '708', '378', '23', '591', '676', '404', '152', '520']
['475', '616', '174', '710', '555', '137', '666', '430', '665', '607']
['500', '455', '505', '138', '409', '625', '645', '575']
['88', '63', '373', '771', '11', '685', '512', '90', '578', '269']
['574', '370', '525', '466', '428', '387', '628', '263', '704', '349']
