['145', '55', '735', '205', '80', '421', '335', '644', '144', '785', '646', '494', '659', '60', '252', '83', '201', '535', '425', '585', '410', '671', '110', '443', '506', '487', '525', '766', '284', '749', '281', '720', '517', '16', '385', '49', '259', '203', '394', '245', '588', '21', '107', '602', '731', '9', '591', '718', '81', '738']
['98', '568', '189', '361', '782', '729', '675', '181', '755', '459', '596', '329', '233', '712', '514', '547', '118', '690', '440', '384', '270', '520', '409', '765', '53', '420', '73', '705', '430', '298', '534', '508', '374', '612', '248', '91', '330', '232', '683', '619', '327', '470', '15', '351', '598', '791', '762', '715', '8', '198']
['48', '414', '490', '51', '269', '337', '246', '377', '197', '405', '438', '312', '170', '736', '523', '636', '256', '153', '164', '318', '77', '339', '23', '93', '353', '161', '183', '706', '713', '560', '747', '667', '123', '78', '457', '642', '6', '222', '360', '176', '273', '519', '106', '84', '135', '238', '52', '594', '109', '614']
['95', '131', '105', '336', '192', '428', '687', '496', '217', '464', '143', '169', '208', '97', '742', '435', '166', '662', '274', '395', '402', '605', '67', '101', '748', '475', '505', '42', '599', '163', '665', '355', '3', '725', '187', '231', '127', '737', '581', '397', '631', '743', '503', '628', '148', '467', '411', '798', '500', '474']
['89', '492', '195', '603', '792', '64', '604', '570', '633', '509', '363', '630', '787', '682', '133', '577', '462', '134', '472', '293', '447', '391', '768', '19', '310', '319', '650', '185', '482', '734', '542', '392', '90', '652', '663', '709', '140', '795', '37', '1', '295', '213', '63', '230', '501', '638', '418', '35', '306', '479']
['511', '32', '28', '549', '321', '307', '533', '387', '408', '72', '641', '660', '200', '280', '38', '380', '25', '554', '417', '149', '579', '242', '247', '275', '625', '383', '716', '237', '202', '121', '550', '210', '326', '454', '608', '404', '778', '697', '2', '286', '175', '370', '24', '218', '302', '26', '158', '253', '452', '372']
['573', '68', '120', '539', '431', '654', '771', '348', '300', '289', '730', '696', '439', '87', '311', '364', '305', '621', '701', '46', '518', '349', '297', '398', '707', '789', '249', '587', '647', '537', '655', '538', '62', '381', '751', '108', '159', '375', '597', '694', '367', '265', '557', '427', '445', '333', '512', '555', '125', '130']
['332', '301', '11', '733', '545', '366', '263', '103', '726', '504', '323', '450', '75', '57', '162', '493', '129', '626', '758', '250', '211', '50', '160', '88', '288', '777', '764', '54', '320', '287', '580', '574', '669', '678', '515', '244', '562', '541', '670', '567', '264', '684', '36', '167', '17', '676', '522', '227', '611', '485']
['656', '469', '362', '382', '165', '223', '558', '251', '432', '779', '325', '754', '526', '640', '495', '334', '214', '44', '277', '186', '595', '196', '314', '209', '536', '767', '589', '139', '94', '12', '629', '34', '76', '422', '113', '637', '788', '234', '65', '423', '643', '10', '190', '688', '546', '723', '177', '590', '607', '486']
['679', '350', '476', '13', '141', '74', '150', '578', '369', '299', '168', '551', '499', '20', '708', '413', '455', '117', '340', '29', '524', '215', '618', '497', '565', '255', '717', '102', '313', '171', '664', '357', '207', '645', '776', '347', '491', '658', '673', '571', '304', '775', '412', '18', '345', '260', '436', '179', '111', '43']
['724', '147', '572', '722', '702', '651', '799', '424', '561', '221', '426', '610', '378', '365', '719', '368', '559', '27', '584', '61', '468', '741', '613', '451', '146', '704', '156', '793', '740', '5', '354', '39', '376', '219', '193', '136', '668', '292', '529', '239', '116', '444', '152', '324', '483', '406', '466', '575', '648', '672']
['272', '41', '199', '100', '759', '346', '416', '174', '772', '308', '235', '226', '114', '285', '745', '622', '699', '66', '303', '616', '566', '744', '569', '553', '188', '138', '59', '465', '586', '698', '727', '453', '343', '115', '86', '266', '396', '657', '796', '379', '236', '137', '661', '296', '609', '582', '371', '543', '681', '407']
['732', '338', '294', '429', '686', '151', '45', '458', '763', '352', '746', '634', '632', '282', '4', '540', '225', '386', '680', '104', '615', '761', '56', '790', '510', '322', '760', '22', '14', '33', '757', '480', '70', '473', '399', '401', '783', '122', '172', '388', '532', '498', '0', '624', '358', '583', '316', '552', '685', '257']
['268', '527', '674', '291', '797', '262', '258', '521', '516', '344', '154', '666', '271', '739', '47', '448', '283', '544', '71', '773', '714', '461', '481', '780', '774', '85', '212', '441', '228', '69', '58', '635', '373', '40', '191', '530', '206', '531', '341', '484', '393', '328', '463', '315', '124', '528', '692', '471', '502', '356']
['182', '173', '489', '279', '96', '703', '220', '620', '786', '442', '507', '446', '31', '437', '317', '700', '309', '119', '781', '691', '331', '132', '513', '548', '240', '433', '623', '695', '229', '241', '653', '419', '606', '710', '276', '79', '752', '750', '601', '112', '449', '389', '359', '434', '180', '254', '728', '689', '7', '157']
['721', '477', '400', '488', '460', '261', '403', '627', '126', '556', '290', '756', '711', '677', '784', '142', '82', '564', '155', '769', '224', '30', '92', '390', '342', '576', '563', '456', '267', '592', '216', '600', '184', '243', '770', '617', '194', '178', '649', '99', '593', '204', '278', '794', '415', '693', '128', '753', '639', '478']
