['168', '722', '517', '183', '94', '442', '746', '220', '314', '950', '158', '954', '109', '213', '708', '180', '291', '147', '779', '629', '122', '968', '162', '837', '511', '159', '146', '934', '237', '498', '833', '529', '675', '652', '946', '40', '70', '276', '631', '586']
['883', '868', '443', '22', '539', '795', '752', '387', '780', '153', '963', '959', '733', '411', '829', '989', '976', '277', '684', '745', '203', '860', '11', '412', '366', '152', '298', '475', '582', '908', '417', '619', '381', '769', '385', '856', '583', '375', '864', '812', '36', '297', '308', '46', '796', '709', '104', '440', '52', '916', '702', '267', '822', '90', '609', '932', '331', '377', '975', '99']
['21', '620', '823', '80', '215', '644', '452', '283', '504', '965', '597', '370', '247', '714', '836', '565', '265', '130', '192', '958', '712', '525', '578', '762', '257', '189', '359', '214', '264', '730', '874', '248', '859', '622', '743', '990', '550', '472', '791', '531', '474', '999', '60', '128', '806', '316', '29', '926', '537', '201', '303', '144', '944', '599', '6', '216', '85', '319', '783', '607']
['47', '764', '363', '27', '35', '580', '111', '937', '867', '460', '705', '431', '384', '62', '919', '917', '105', '881', '566', '427', '372', '48', '287', '667', '957', '430', '13', '737', '656', '383', '886', '920', '466', '687', '243', '294', '691', '747', '74', '191', '872', '655', '929', '300', '465', '512', '53', '393', '636', '776', '309', '543', '175', '480', '767', '139', '244', '284', '9', '802']
['514', '186', '197', '515', '633', '682', '996', '254', '486', '445', '827', '760', '793', '8', '943', '891', '77', '455', '292', '280', '19', '54', '854', '102', '906', '2', '148', '26', '967', '471', '951', '182', '332', '218', '923', '516', '606', '994', '208', '830', '341', '887', '87', '500', '877', '648', '371', '496', '711', '241', '560', '657', '664', '857', '131', '253', '327', '828', '718', '323']
['873', '962', '236', '855', '493', '75', '397', '653', '304', '65', '896', '613', '838', '585', '426', '729', '814', '262', '898', '839', '233', '245', '386', '484', '394', '548', '238', '184', '557', '852', '700', '540', '893', '569', '129', '831', '595', '986', '513', '554', '217', '507', '481', '178', '628', '249', '501', '755', '584', '0', '200', '39', '37', '786', '768', '971', '388', '731', '841', '358']
['719', '413', '660', '505', '286', '223', '581', '325', '736', '437', '360', '261', '339', '79', '532', '229', '576', '961', '936', '638', '92', '773', '49', '402', '497', '156', '454', '977', '970', '853', '3', '969', '71', '38', '678', '221', '483', '326', '847', '960', '282', '429', '362', '871', '55', '14', '374', '170', '69', '661', '67', '462', '794', '978', '825', '250', '172', '568', '18', '406']
['759', '647', '632', '98', '670', '732', '425', '239', '728', '992', '533', '924', '150', '196', '571', '785', '527', '293', '32', '928', '979', '885', '477', '594', '739', '744', '672', '907', '416', '844', '78', '428', '727', '378', '188', '15', '901', '207', '301', '536', '903', '604', '356', '799', '948', '589', '721', '981', '64', '310', '889', '405', '349', '927', '252', '643', '617', '407', '7', '577']
['285', '51', '698', '211', '608', '125', '117', '369', '521', '541', '845', '256', '861', '151', '177', '555', '279', '810', '435', '225', '993', '142', '410', '269', '268', '478', '141', '614', '333', '334', '368', '910', '933', '491', '367', '701', '807', '551', '34', '863', '373', '492', '305', '206', '313', '723', '255', '97', '345', '558', '108', '336', '734', '160', '352', '266', '132', '149', '895', '897']
['342', '817', '635', '790', '858', '63', '677', '699', '390', '258', '603', '955', '998', '398', '93', '155', '138', '351', '274', '133', '31', '100', '114', '611', '83', '226', '456', '882', '801', '579', '169', '818', '143', '621', '185', '240', '489', '820', '259', '423', '598', '113', '154', '482', '602', '753', '964', '467', '835', '738', '403', '444', '952', '534', '110', '476', '376', '766', '688', '89']
['436', '459', '813', '391', '446', '563', '689', '772', '392', '651', '421', '756', '510', '448', '805', '945', '668', '888', '528', '842', '457', '570', '642', '365', '163', '909', '458', '592', '765', '343', '199', '317', '449', '726', '634', '713', '401', '669', '408', '680', '775', '774', '419', '296', '10', '742', '630', '42', '798', '23', '913', '922', '544', '679', '991', '983', '538', '530', '340', '135']
['246', '58', '330', '181', '519', '315', '899', '320', '57', '658', '120', '490', '68', '222', '179', '112', '322', '751', '866', '545', '364', '473', '234', '210', '24', '382', '879', '832', '25', '4', '878', '167', '468', '966', '757', '5', '20', '82', '754', '205', '884', '803', '355', '556', '28', '641', '306', '165', '328', '288', '800', '717', '350', '399', '272', '749', '461', '875', '50', '535']
['987', '44', '338', '311', '43', '715', '121', '811', '107', '997', '639', '696', '918', '124', '596', '230', '396', '451', '335', '690', '418', '787', '231', '337', '33', '290', '740', '654', '380', '321', '616', '646', '198', '593', '81', '88', '522', '650', '227', '549', '741', '66', '980', '761', '784', '792', '626', '235', '693', '61', '161', '876', '591', '123', '470', '615', '564', '194', '659', '318']
['324', '697', '101', '16', '574', '389', '880', '662', '463', '202', '624', '344', '575', '209', '432', '834', '212', '118', '610', '674', '1', '947', '353', '273', '299', '671', '251', '45', '438', '422', '508', '41', '193', '704', '72', '938', '900', '204', '503', '637', '588', '956', '361', '601', '862', '307', '649', '348', '788', '176', '278', '778', '692', '260', '553', '263', '164', '346', '686', '59']
['771', '912', '984', '228', '275', '499', '935', '824', '379', '942', '676', '921', '232', '797', '30', '673', '605', '914', '506', '157', '640', '600', '777', '56', '904', '974', '816', '542', '171', '523', '526', '763', '106', '115', '770', '894', '720', '441', '488', '939', '725', '495', '890', '453', '173', '840', '663', '224', '116', '469', '502', '145', '464', '562', '587', '137', '434', '612', '424', '694']
['706', '748', '91', '136', '849', '187', '681', '930', '494', '415', '695', '572', '447', '666', '126', '450', '982', '949', '433', '95', '846', '524', '76', '972', '520', '166', '627', '400', '804', '84', '119', '195', '953', '665', '625', '590', '420', '552', '716', '931', '242', '821', '911', '902', '439', '409', '270', '870', '404', '988', '487', '618', '905', '546', '219', '685', '851', '809', '808', '985']
['329', '724', '995', '357', '645', '925', '826', '354', '127', '710', '312', '941', '819', '782', '850', '17', '815', '973', '485', '758', '96', '843', '940', '295', '518', '848', '347', '750', '789', '134', '892', '271', '567', '735', '414', '103', '707', '781', '73', '869', '683', '915', '86', '559', '703', '509', '174', '865', '289', '12', '623', '573', '190', '547', '561', '281', '140', '395', '302', '479']
