['920']
['372', '99', '898', '873', '833', '662', '185', '428', '892', '193', '43', '297', '42', '300', '467', '397', '655', '909', '370', '441', '598', '336', '471', '851', '753', '703', '711', '913', '877', '138', '38', '270', '257', '635', '608', '842', '35', '727', '611', '127', '642', '625', '565', '617', '181', '9', '485', '831', '444', '872']
['330', '820', '914', '595', '180', '758', '425', '551', '291', '870', '76', '116', '315', '130', '745', '62', '658', '453', '790', '554', '449', '32', '363', '194', '949', '789', '496', '266', '243', '199', '493', '188', '500', '709', '757', '627', '244', '669', '622', '853', '817', '6', '671', '609', '262', '777', '581', '156', '660', '659']
['746', '134', '795', '647', '357', '787', '571', '712', '129', '311', '864', '518', '85', '148', '560', '11', '629', '17', '923', '906', '408', '13', '347', '922', '734', '807', '749', '135', '86', '277', '433', '36', '938', '723', '641', '61', '208', '520', '610', '59', '271', '400', '443', '147', '34', '568', '847', '911', '887', '489']
['527', '694', '934', '495', '927', '601', '742', '762', '376', '68', '926', '151', '781', '225', '612', '845', '95', '301', '396', '767', '883', '456', '579', '859', '154', '717', '367', '786', '20', '589', '475', '668', '442', '534', '868', '677', '903', '273', '216', '258', '160', '40', '698', '123', '365', '381', '245', '196', '810', '735']
['5', '439', '880', '251', '406', '211', '575', '799', '164', '184', '221', '186', '25', '65', '596', '925', '539', '143', '24', '448', '857', '146', '875', '576', '692', '27', '814', '93', '785', '320', '108', '829', '50', '714', '393', '371', '798', '404', '602', '217', '651', '179', '81', '307', '69', '75', '435', '175', '401', '876']
['644', '837', '137', '203', '666', '0', '388', '92', '827', '474', '326', '418', '451', '335', '816', '604', '432', '232', '66', '686', '411', '402', '461', '84', '23', '511', '501', '600', '724', '690', '141', '481', '946', '826', '597', '424', '882', '930', '198', '434', '821', '722', '351', '3', '707', '238', '30', '491', '414', '584']
['423', '226', '515', '358', '704', '72', '299', '348', '856', '166', '867', '150', '169', '606', '318', '884', '532', '665', '549', '288', '12', '31', '200', '355', '548', '354', '384', '409', '890', '944', '113', '195', '919', '487', '236', '687', '521', '106', '241', '939', '366', '550', '94', '440', '632', '764', '839', '416', '268', '486']
['379', '683', '508', '250', '339', '205', '729', '901', '360', '523', '639', '219', '526', '469', '417', '706', '155', '547', '126', '290', '310', '132', '325', '910', '170', '284', '383', '314', '844', '413', '90', '111', '760', '765', '67', '91', '564', '818', '881', '863', '293', '540', '295', '394', '227', '804', '412', '254', '213', '900']
['190', '246', '269', '247', '768', '206', '477', '646', '678', '852', '497', '110', '316', '28', '222', '41', '463', '52', '855', '492', '730', '623', '1', '349', '329', '421', '346', '747', '700', '201', '849', '530', '620', '78', '613', '578', '187', '382', '562', '638', '191', '302', '788', '689', '809', '39', '649', '240', '457', '323']
['718', '656', '866', '118', '771', '528', '640', '79', '519', '736', '916', '751', '454', '731', '691', '364', '561', '249', '174', '482', '49', '114', '933', '766', '721', '229', '776', '380', '719', '585', '888', '577', '183', '556', '754', '239', '345', '840', '96', '825', '287', '654', '543', '634', '741', '165', '824', '502', '18', '773']
['566', '676', '514', '234', '796', '389', '163', '670', '619', '631', '835', '73', '697', '309', '507', '352', '71', '144', '350', '770', '567', '533', '124', '616', '494', '285', '109', '410', '430', '4', '614', '261', '483', '375', '54', '405', '140', '937', '587', '748', '636', '265', '437', '478', '499', '158', '490', '139', '480', '103']
['333', '899', '680', '120', '306', '89', '281', '464', '450', '369', '599', '272', '715', '119', '761', '248', '334', '783', '445', '327', '885', '53', '484', '775', '728', '545', '465', '386', '522', '48', '427', '403', '828', '699', '552', '679', '537', '77', '509', '308', '557', '331', '210', '854', '58', '322', '289', '583', '506', '171']
['189', '544', '215', '592', '294', '446', '431', '720', '172', '70', '395', '850', '472', '832', '343', '645', '131', '313', '812', '928', '860', '220', '87', '902', '167', '843', '772', '391', '516', '570', '399', '392', '841', '122', '117', '726', '260', '353', '264', '621', '125', '791', '98', '105', '488', '324', '44', '159', '74', '675']
['782', '713', '752', '628', '466', '685', '945', '778', '312', '865', '702', '572', '292', '60', '100', '80', '784', '648', '452', '569', '19', '681', '228', '542', '811', '838', '387', '407', '663', '88', '51', '256', '231', '7', '626', '546', '176', '580', '582', '168', '385', '531', '145', '739', '593', '136', '708', '107', '858', '943']
['738', '780', '303', '112', '732', '878', '342', '921', '684', '948', '918', '332', '373', '115', '869', '512', '750', '688', '283', '121', '701', '470', '274', '233', '368', '529', '253', '455', '104', '319', '696', '128', '102', '822', '871', '664', '398', '377', '874', '800', '740', '63', '573', '661', '479', '907', '26', '192', '624', '650']
['904', '429', '282', '908', '861', '917', '209', '204', '459', '563', '779', '305', '942', '823', '149', '476', '941', '797', '643', '541', '415', '56', '630', '8', '2', '618', '653', '535', '559', '298', '615', '893', '695', '806', '693', '682', '657', '162', '498', '803', '815', '16', '940', '524', '774', '304', '97', '252', '912', '230']
['603', '275', '756', '337', '340', '808', '177', '341', '83', '321', '705', '517', '152', '242', '793', '47', '805', '737', '558', '633', '57', '378', '819', '458', '886', '792', '473', '896', '794', '716', '862', '46', '29', '390', '586', '813', '101', '153', '267', '82', '202', '22', '157', '801', '212', '637', '276', '710', '935', '915']
['725', '538', '504', '513', '10', '64', '259', '328', '361', '667', '280', '237', '652', '743', '362', '279', '223', '438', '929', '436', '763', '574', '674', '924', '830', '947', '55', '889', '142', '45', '744', '673', '594', '555', '218', '197', '214', '525', '33', '15', '553', '37', '848', '755', '936', '588', '932', '263', '255', '672']
['356', '224', '591', '905', '895', '590', '296', '836', '802', '182', '733', '505', '338', '931', '510', '419', '846', '447', '359', '235', '891', '759', '605', '420', '607', '133', '503', '422', '894', '14', '879', '286', '344', '834', '178', '536', '21', '769', '317', '161', '897', '173', '462', '426', '374', '207', '468', '460', '278']
