['176']
['277', '126', '337', '162', '443', '472', '186', '327', '7', '270', '92', '410', '296', '319', '412', '359', '389', '22', '467', '9', '156', '138', '256', '57', '322', '310', '183', '375', '51', '278', '78', '332', '17', '66', '274']
['381', '397', '71', '357', '19', '448', '204', '28', '121', '444', '352', '368', '354', '105', '471', '103', '230', '439', '371', '267', '65', '41', '370', '356', '210', '109', '366', '201', '252', '279', '260', '88', '84', '86', '242']
['148', '486', '380', '120', '6', '276', '473', '160', '48', '422', '128', '383', '272', '150', '265', '117', '110', '374', '149', '234', '143', '284', '29', '259', '161', '188', '52', '364', '339', '93', '75', '67', '425', '227', '240']
['211', '365', '25', '414', '55', '53', '298', '347', '213', '245', '257', '395', '254', '271', '285', '454', '10', '255', '329', '269', '258', '470', '382', '43', '222', '76', '233', '361', '178', '452', '218', '349', '330', '461', '401']
['489', '131', '94', '106', '116', '38', '428', '292', '166', '177', '387', '175', '216', '423', '482', '95', '111', '416', '14', '127', '318', '168', '338', '33', '475', '480', '400', '451', '79', '392', '215', '391', '367', '251', '99']
['228', '133', '198', '26', '246', '13', '290', '293', '314', '469', '115', '167', '237', '398', '153', '73', '411', '323', '2', '225', '408', '465', '306', '199', '8', '483', '351', '173', '90', '47', '481', '179', '468', '345', '60']
['20', '321', '386', '394', '122', '402', '187', '458', '484', '184', '54', '172', '324', '455', '39', '403', '69', '85', '341', '24', '23', '404', '436', '238', '478', '91', '248', '457', '266', '280', '243', '429', '399', '302', '141']
['378', '72', '453', '307', '273', '241', '263', '311', '1', '447', '37', '147', '219', '344', '442', '63', '369', '40', '474', '407', '446', '192', '87', '56', '124', '139', '426', '98', '406', '158', '420', '441', '165', '305', '89']
['304', '185', '340', '169', '342', '108', '413', '195', '393', '70', '146', '12', '300', '355', '157', '212', '180', '137', '64', '283', '107', '456', '152', '434', '419', '193', '140', '155', '113', '418', '209', '62', '249', '334', '197']
['154', '427', '476', '207', '405', '144', '315', '45', '182', '32', '18', '303', '308', '130', '203', '333', '424', '313', '31', '80', '44', '231', '275', '82', '123', '449', '205', '101', '336', '235', '346', '97', '135', '11', '363']
['464', '390', '34', '487', '49', '214', '104', '59', '5', '316', '129', '415', '325', '450', '224', '268', '196', '102', '485', '435', '118', '100', '112', '190', '4', '96', '217', '68', '194', '379', '170', '200', '159', '163', '320']
['286', '145', '301', '459', '226', '119', '15', '250', '463', '445', '384', '372', '174', '430', '261', '223', '297', '35', '294', '328', '295', '377', '438', '350', '136', '142', '253', '317', '462', '479', '421', '42', '309', '326', '488']
['373', '30', '281', '262', '16', '114', '208', '299', '74', '288', '264', '335', '432', '385', '0', '362', '433', '417', '282', '36', '58', '236', '229', '437', '21', '287', '181', '291', '132', '348', '83', '50', '81', '125']
['151', '206', '164', '358', '477', '360', '409', '220', '61', '77', '247', '232', '331', '191', '460', '440', '312', '46', '244', '343', '134', '396', '388', '189', '171', '466', '239', '221', '27', '289', '353', '3', '431', '202', '376']
