['131', '253', '312', '302', '18', '43', '228', '0', '212', '256']
['329', '135', '349', '310', '350', '187', '63', '278', '384', '70', '379', '28', '223', '213', '17', '332', '141', '6', '26', '149', '287', '87', '20', '208', '29', '290', '232', '203', '238', '274']
['307', '354', '383', '381', '103', '314', '22', '46', '291', '44', '395', '15', '183', '236', '59', '357', '324', '378', '136', '7', '133', '118', '83', '78', '127', '269', '36', '257', '330', '226']
['275', '328', '283', '13', '251', '30', '386', '230', '56', '288', '361', '152', '11', '356', '47', '194', '193', '390', '60', '145', '120', '280', '322', '273', '242', '192', '342', '190', '51', '254']
['128', '239', '64', '85', '53', '82', '284', '233', '31', '52', '334', '355', '352', '195', '8', '216', '5', '80', '189', '266', '244', '97', '99', '76', '225', '182', '172', '338', '245', '67']
['325', '158', '126', '392', '66', '166', '49', '327', '71', '200', '345', '394', '398', '23', '81', '205', '61', '366', '316', '154', '89', '319', '397', '62', '260', '217', '365', '360', '211', '247']
['268', '369', '367', '115', '19', '218', '153', '285', '281', '261', '300', '363', '45', '102', '308', '289', '221', '326', '58', '391', '303', '340', '147', '264', '179', '388', '262', '368', '304', '385']
['243', '114', '252', '167', '337', '210', '161', '255', '156', '72', '271', '94', '14', '37', '297', '42', '185', '207', '86', '299', '93', '55', '240', '227', '317', '376', '69', '267', '351', '222']
['27', '373', '387', '246', '209', '144', '335', '276', '4', '101', '258', '296', '16', '372', '157', '177', '364', '341', '313', '129', '75', '77', '320', '25', '79', '33', '34', '175', '323', '249']
['123', '309', '181', '353', '130', '57', '305', '348', '219', '3', '270', '321', '155', '184', '143', '265', '191', '9', '333', '343', '41', '382', '186', '301', '121', '259', '139', '393', '162', '282']
['298', '346', '234', '198', '2', '248', '235', '371', '294', '35', '370', '215', '122', '24', '286', '10', '150', '1', '137', '146', '119', '98', '196', '116', '168', '170', '38', '132', '241', '48']
['50', '272', '206', '336', '214', '311', '117', '134', '396', '112', '163', '124', '39', '110', '106', '148', '292', '159', '377', '344', '339', '160', '125', '197', '90', '91', '138', '331', '104', '109']
['171', '199', '359', '358', '32', '220', '164', '113', '74', '100', '380', '84', '188', '224', '165', '202', '347', '140', '108', '231', '107', '250', '389', '293', '318', '142', '111', '180', '306', '21']
['178', '204', '151', '176', '173', '362', '399', '68', '92', '54', '374', '65', '73', '263', '174', '375', '315', '95', '96', '88', '229', '295', '12', '279', '237', '201', '40', '169', '105', '277']
