['157']
['359']
['215']
['95']
['39']
['486', '202', '443', '47', '139']
['439', '391', '136', '276', '186', '445', '319', '128', '246', '425', '239']
['268', '48', '153', '461', '446', '216', '413', '177', '402', '317', '414']
['196', '371', '376', '129', '326', '207', '233', '34', '162', '172', '437']
['82', '22', '185', '304', '174', '16', '257', '168', '109', '283', '27']
['397', '252', '299', '191', '358', '383', '389', '130', '225', '38', '214']
['87', '328', '140', '440', '348', '124', '219', '166', '287', '384', '204']
['352', '179', '67', '60', '463', '49', '195', '314', '418', '134', '227']
['194', '44', '159', '333', '151', '78', '89', '40', '183', '85', '213']
['375', '316', '275', '115', '472', '68', '1', '410', '284', '114', '199']
['487', '432', '64', '184', '211', '330', '26', '23', '455', '296', '286']
['269', '230', '2', '404', '261', '92', '167', '485', '255', '32', '274']
['198', '7', '54', '460', '258', '141', '476', '372', '178', '147', '321']
['294', '456', '300', '97', '77', '93', '42', '99', '135', '238', '449']
['12', '364', '381', '29', '464', '450', '271', '346', '242', '388', '17']
['324', '421', '386', '447', '36', '98', '229', '415', '35', '370', '108']
['220', '104', '14', '10', '378', '267', '253', '411', '51', '426']
['223', '318', '323', '399', '86', '175', '406', '113', '100', '245', '351']
['369', '337', '206', '403', '417', '156', '226', '190', '474', '61', '28']
['163', '232', '423', '409', '91', '66', '292', '277', '111', '208', '305']
['341', '431', '313', '37', '6', '356', '448', '59', '347', '382', '420']
['101', '125', '150', '270', '228', '209', '81', '243', '289', '50', '481']
['297', '119', '158', '434', '155', '173', '107', '298', '377', '96', '329']
['247', '43', '146', '259', '236', '126', '484', '263', '262', '451', '133']
['90', '18', '41', '357', '462', '55', '395', '145', '73', '345', '355']
['71', '53', '310', '25', '200', '193', '4', '30', '260', '303', '307']
['138', '137', '149', '339', '79', '291', '224', '302', '19', '52', '102']
['368', '142', '293', '121', '308', '408', '374', '306', '436', '422', '201']
['365', '63', '154', '203', '31', '266', '106', '361', '144', '398', '94']
['187', '212', '24', '373', '452', '56', '285', '45', '80', '412', '170']
['9', '116', '192', '188', '470', '256', '46', '241']
['360', '477', '33', '342', '250', '441', '288', '367', '244', '438', '430']
['273', '354', '480', '15', '479', '235', '127', '143', '282', '58', '344']
['112', '21', '433', '237', '161', '272', '74', '392', '488', '234', '132']
['349', '315', '457', '465', '210', '468', '88', '334', '160', '454', '400']
['301', '152', '217', '75', '122', '390', '435', '419', '110', '240', '469']
['254', '249', '70', '312', '84', '363', '336', '265', '264', '478', '424']
['205', '176', '182', '11', '117', '197', '181', '325', '340', '171', '459']
['62', '483', '475', '69', '335', '290', '427', '280', '222', '467', '401']
['169', '57', '148', '442', '8', '343', '281', '165', '338', '453']
['327', '380', '65', '105', '366', '332', '120', '13', '458', '72', '251']
['5', '221', '248', '385', '180', '405', '20', '428', '482', '466', '279']
['103', '189', '231', '131', '394', '379', '295', '393', '278', '3', '407']
['416', '0', '473', '118', '429', '320', '362', '396', '353', '322', '331']
['164', '471', '123', '218', '311', '83', '309', '350', '444', '76', '387']
