['433', '449', '460', '465', '484']
['384', '398', '399', '400', '403', '405', '415', '420', '427', '429']
['317', '318', '326', '339', '341', '356', '357', '365', '374', '376']
['149', '173', '187', '191', '197', '201', '222', '245', '301', '309']
['45', '57', '92', '102', '103', '116', '133', '139', '140', '146']
['259', '347', '471', '473', '284', '288', '20', '26', '29', '40']
['409', '432', '101', '273', '401', '240', '363', '3', '6', '7']
['190', '229', '261', '352', '382', '447', '47', '76', '182', '234']
['183', '440', '52', '69', '117', '141', '163', '172', '227', '257']
['170', '253', '293', '314', '371', '39', '110', '126', '441', '35']
['424', '88', '130', '160', '325', '372', '457', '63', '78', '120']
['157', '215', '250', '468', '210', '260', '266', '276', '388', '407']
['358', '25', '275', '418', '439', '74', '121', '214', '451', '96']
['207', '246', '298', '486', '31', '71', '178', '230', '231', '329']
['112', '475', '86', '166', '184', '204', '211', '469', '154', '195']
['33', '48', '66', '205', '218', '279', '383', '13', '28', '77']
['12', '171', '373', '446', '489', '123', '169', '206', '249', '472']
['406', '95', '344', '452', '495', '68', '235', '296', '342', '337']
['303', '377', '4', '18', '100', '219', '23', '150', '198', '310']
['193', '320', '345', '410', '412', '443', '488', '89', '186', '221']
['175', '228', '307', '321', '393', '419', '490', '43', '83', '180']
['113', '135', '143', '189', '330', '353', '397', '482', '152', '162']
['470', '11', '22', '203', '248', '252', '346', '366', '464', '38']
['308', '351', '396', '454', '54', '94', '179', '188', '322', '380']
['474', '481', '56', '73', '97', '167', '220', '277', '283', '299']
['36', '115', '147', '247', '297', '313', '324', '426', '436', '442']
['106', '125', '165', '208', '217', '223', '280', '319', '444', '487']
['236', '263', '292', '354', '394', '414', '437', '459', '58', '65']
['422', '431', '456', '463', '17', '55', '79', '124', '137', '168']
['138', '159', '174', '194', '216', '251', '265', '302', '361', '389']
['155', '161', '242', '269', '316', '323', '421', '467', '81', '114']
['158', '9', '332', '338', '287', '282', '50', '107', '127', '145']
['369', '478', '19', '176', '213', '262', '129', '270', '72', '285']
['8', '42', '70', '131', '258', '118', '425', '44', '243', '343']
['142', '387', '416', '476', '14', '209', '333', '386', '453', '462']
['477', '41', '272', '445', '46', '60', '67', '82', '105', '119']
['278', '390', '15', '108', '315', '334', '364', '379', '385', '438']
['360', '413', '423', '458', '61', '80', '122', '136', '196', '256']
['359', '84', '192', '225', '244', '340', '1', '85', '233', '304']
['10', '16', '27', '49', '51', '93', '148', '238', '274', '328']
['200', '237', '255', '294', '305', '395', '411', '435', '479', '494']
['109', '291', '492', '295', '232', '24', '37', '64', '90', '132']
['336', '368', '493', '128', '267', '430', '156', '224', '362', '98']
['32', '99', '199', '254', '268', '402', '461', '30', '151', '264']
['448', '483', '2', '306', '311', '375', '428', '450', '466', '485']
['290', '348', '381', '455', '104', '181', '300', '312', '392', '417']
['134', '241', '391', '239', '87', '144', '434', '59', '226', '271']
['91', '111', '212', '34', '281', '408', '21', '153', '327', '367']
['185', '335', '355', '370', '349', '177', '350', '62', '164', '289']
['404', '75', '202', '331', '491', '53', '378', '480', '286', '5']
