['75']
['164', '352', '182', '26', '78', '100', '312', '277', '240', '237']
['166', '357', '330', '167', '369', '5', '74', '64', '339', '194']
['184', '94', '348', '319', '361', '384', '145', '35', '287', '392']
['73', '328', '11', '79', '191', '32', '12', '284', '6', '4']
['43', '266', '42', '128', '318', '2', '124', '399', '41', '177']
['70', '239', '273', '20', '178', '334', '280', '51', '172', '349']
['95', '244', '96', '247', '53', '224', '325', '293', '340', '335']
['333', '255', '290', '229', '268', '241', '137', '226', '271', '45']
['242', '317', '98', '358', '117', '211', '19', '215', '9', '345']
['366', '259', '377', '342', '148', '197', '331', '362', '379', '258']
['305', '34', '253', '228', '59', '364', '170', '200', '126', '219']
['165', '350', '308', '375', '118', '160', '86', '113', '332', '84']
['274', '320', '101', '390', '261', '263', '209', '69', '155', '343']
['381', '116', '387', '189', '192', '363', '61', '198', '154', '203']
['296', '120', '353', '22', '62', '139', '121', '104', '289', '372']
['278', '14', '130', '265', '323', '85', '346', '374', '397', '67']
['33', '301', '378', '159', '220', '168', '18', '135', '279', '56']
['150', '87', '52', '81', '322', '306', '39', '321', '92', '260']
['157', '133', '223', '329', '93', '83', '23', '337', '344', '245']
['292', '136', '17', '356', '315', '138', '0', '210', '127', '151']
['359', '389', '187', '15', '8', '254', '68', '297', '142', '152']
['324', '282', '281', '97', '295', '248', '71', '90', '169', '243']
['58', '307', '143', '46', '230', '25', '106', '163', '303', '193']
['175', '326', '171', '205', '394', '383', '285', '38', '351', '140']
['207', '199', '77', '304', '10', '257', '252', '123', '122', '158']
['396', '48', '327', '185', '57', '110', '40', '91', '206', '269']
['80', '310', '360', '249', '388', '107', '190', '213', '186', '246']
['316', '37', '204', '16', '144', '291', '365', '238', '196', '391']
['216', '373', '129', '24', '338', '49', '65', '221', '314', '298']
['54', '286', '386', '231', '283', '89', '202', '232', '99', '134']
['299', '276', '72', '141', '313', '55', '195', '36', '371', '354']
['153', '173', '3', '161', '112', '234', '250', '31', '162']
['368', '270', '174', '29', '262', '385', '370', '300', '149', '347']
['146', '82', '125', '275', '288', '132', '225', '105', '103', '109']
['355', '156', '47', '88', '272', '179', '395', '201', '60', '44']
['76', '102', '1', '181', '21', '63', '302', '13', '114', '251']
['336', '7', '208', '309', '108', '233', '212', '393', '267', '176']
['30', '398', '188', '66', '115', '380', '235', '131', '27', '180']
['183', '236', '311', '50', '218', '217', '28', '294', '367', '119']
['227', '222', '341', '111', '147', '214', '256', '382', '376', '264']
