['a166', 'a83', 'a287', 'a366', 'a126', 'a362', 'a348', 'a358', 'a10', 'a370', 'a279', 'a67', 'a16', 'a150', 'a298', 'a178', 'a278', 'a87', 'a326', 'a219']
['a327', 'a45', 'a190', 'a154', 'a136', 'a226', 'a254', 'a236', 'a324', 'a312', 'a85', 'a323', 'a313', 'a223', 'a104', 'a335', 'a302', 'a192', 'a233', 'a204']
['a119', 'a318', 'a384', 'a125', 'a385', 'a2', 'a144', 'a359', 'a24', 'a288', 'a54', 'a364', 'a43', 'a161', 'a263', 'a330', 'a281', 'a328', 'a25', 'a112']
['a194', 'a375', 'a32', 'a176', 'a151', 'a27', 'a267', 'a74', 'a225', 'a301', 'a349', 'a159', 'a71', 'a218', 'a266', 'a131', 'a66', 'a212', 'a130', 'a391']
['a68', 'a260', 'a58', 'a396', 'a315', 'a7', 'a249', 'a13', 'a145', 'a392', 'a140', 'a114', 'a253', 'a354', 'a59', 'a376', 'a386', 'a365', 'a232', 'a148']
['a351', 'a238', 'a152', 'a63', 'a387', 'a331', 'a240', 'a356', 'a345', 'a105', 'a109', 'a248', 'a14', 'a196', 'a195', 'a33', 'a96', 'a100', 'a357', 'a319']
['a229', 'a37', 'a203', 'a369', 'a211', 'a297', 'a252', 'a162', 'a57', 'a380', 'a336', 'a185', 'a228', 'a88', 'a371', 'a296', 'a60', 'a304', 'a208', 'a247']
['a28', 'a158', 'a128', 'a299', 'a285', 'a183', 'a34', 'a341', 'a79', 'a284', 'a255', 'a320', 'a311', 'a95', 'a347', 'a234', 'a282', 'a286', 'a15', 'a9']
['a258', 'a251', 'a261', 'a307', 'a5', 'a73', 'a205', 'a262', 'a168', 'a31', 'a134', 'a35', 'a256', 'a271', 'a332', 'a123', 'a363', 'a280', 'a173', 'a72']
['a398', 'a316', 'a127', 'a353', 'a383', 'a69', 'a157', 'a325', 'a257', 'a187', 'a175', 'a381', 'a180', 'a213', 'a220', 'a227', 'a102', 'a122', 'a147', 'a101']
['a394', 'a75', 'a76', 'a314', 'a149', 'a373', 'a246', 'a259', 'a49', 'a272', 'a146', 'a209', 'a30', 'a283', 'a222', 'a92', 'a153', 'a193', 'a350', 'a346']
['a377', 'a389', 'a242', 'a41', 'a94', 'a397', 'a295', 'a368', 'a352', 'a121', 'a305', 'a38', 'a224', 'a179', 'a395', 'a337', 'a29', 'a141', 'a361', 'a264']
['a61', 'a113', 'a133', 'a191', 'a143', 'a390', 'a132', 'a250', 'a378', 'a116', 'a321', 'a388', 'a291', 'a342', 'a215', 'a293', 'a273', 'a48', 'a20', 'a3']
['a243', 'a12', 'a199', 'a91', 'a216', 'a379', 'a81', 'a322', 'a163', 'a50', 'a103', 'a51', 'a21', 'a6', 'a23', 'a317', 'a244', 'a82', 'a44', 'a135']
['a55', 'a355', 'a277', 'a182', 'a202', 'a160', 'a56', 'a39', 'a108', 'a245', 'a47', 'a206', 'a374', 'a186', 'a139', 'a118', 'a184', 'a84', 'a276', 'a117']
['a42', 'a65', 'a171', 'a221', 'a78', 'a167', 'a360', 'a231', 'a155', 'a89', 'a138', 'a275', 'a46', 'a200', 'a306', 'a294', 'a372', 'a98', 'a214', 'a237']
['a308', 'a270', 'a235', 'a19', 'a52', 'a1', 'a399', 'a115', 'a165', 'a8', 'a268', 'a99', 'a210', 'a62', 'a18', 'a382', 'a217', 'a309', 'a343', 'a53']
['a292', 'a80', 'a339', 'a36', 'a338', 'a329', 'a310', 'a393', 'a334', 'a93', 'a197', 'a64', 'a111', 'a189', 'a230', 'a333', 'a11', 'a97', 'a303', 'a86']
['a265', 'a137', 'a107', 'a269', 'a4', 'a289', 'a142', 'a129', 'a124', 'a300', 'a207', 'a172', 'a156', 'a198', 'a17', 'a201', 'a106', 'a110', 'a290', 'a40']
['a181', 'a174', 'a120', 'a90', 'a367', 'a241', 'a164', 'a188', 'a344', 'a26', 'a274', 'a22', 'a77', 'a70', 'a340', 'a177', 'a0', 'a239', 'a170', 'a169']
