['G54', 'H54']
['D54', 'E54', 'F54']
['H53', 'A54', 'B54']
['E53', 'F53', 'G53']
['B53', 'C53', 'D53']
['G52', 'H52', 'A53']
['D52', 'E52', 'F52']
['A52', 'B52', 'C52']
['F51', 'G51', 'H51']
['C51', 'D51', 'E51']
['H50', 'A51', 'B51']
['E50', 'F50', 'G50']
['B50', 'C50', 'D50']
['G49', 'H49', 'A50']
['D49', 'E49', 'F49']
['A49', 'B49', 'C49']
['F48', 'G48', 'H48']
['C48', 'D48', 'E48']
['H47', 'A48', 'B48']
['E47', 'F47', 'G47']
['B47', 'C47', 'D47']
['G46', 'H46', 'A47']
['D46', 'E46', 'F46']
['A46', 'B46', 'C46']
['F45', 'G45', 'H45']
['C45', 'D45', 'E45']
['H44', 'A45', 'B45']
['E44', 'F44', 'G44']
['B44', 'C44', 'D44']
['G43', 'H43', 'A44']
['D43', 'E43', 'F43']
['A43', 'B43', 'C43']
['F42', 'G42', 'H42']
['C42', 'D42', 'E42']
['H41', 'A42', 'B42']
['E41', 'F41', 'G41']
['B41', 'C41', 'D41']
['G40', 'H40', 'A41']
['D40', 'E40', 'F40']
['A40', 'B40', 'C40']
['F39', 'G39', 'H39']
['C39', 'D39', 'E39']
['H38', 'A39', 'B39']
['E38', 'F38', 'G38']
['B38', 'C38', 'D38']
['G37', 'H37', 'A38']
['D37', 'E37', 'F37']
['A37', 'B37', 'C37']
['F36', 'G36', 'H36']
['C36', 'D36', 'E36']
['H35', 'A36', 'B36']
['E35', 'F35', 'G35']
['B35', 'C35', 'D35']
['G34', 'H34', 'A35']
['D34', 'E34', 'F34']
['A34', 'B34', 'C34']
['F33', 'G33', 'H33']
['C33', 'D33', 'E33']
['H32', 'A33', 'B33']
['E32', 'F32', 'G32']
['B32', 'C32', 'D32']
['G31', 'H31', 'A32']
['D31', 'E31', 'F31']
['A31', 'B31', 'C31']
['F30', 'G30', 'H30']
['C30', 'D30', 'E30']
['H29', 'A30', 'B30']
['E29', 'F29', 'G29']
['B29', 'C29', 'D29']
['G28', 'H28', 'A29']
['D28', 'E28', 'F28']
['A28', 'B28', 'C28']
['F27', 'G27', 'H27']
['C27', 'D27', 'E27']
['H26', 'A27', 'B27']
['E26', 'F26', 'G26']
['B26', 'C26', 'D26']
['G25', 'H25', 'A26']
['D25', 'E25', 'F25']
['A25', 'B25', 'C25']
['F24', 'G24', 'H24']
['C24', 'D24', 'E24']
['H23', 'A24', 'B24']
['E23', 'F23', 'G23']
['B23', 'C23', 'D23']
['G22', 'H22', 'A23']
['D22', 'E22', 'F22']
['A22', 'B22', 'C22']
['F21', 'G21', 'H21']
['C21', 'D21', 'E21']
['H20', 'A21', 'B21']
['E20', 'F20', 'G20']
['B20', 'C20', 'D20']
['G19', 'H19', 'A20']
['D19', 'E19', 'F19']
['A19', 'B19', 'C19']
['F18', 'G18', 'H18']
['C18', 'D18', 'E18']
['H17', 'A18', 'B18']
['E17', 'F17', 'G17']
['B17', 'C17', 'D17']
['G16', 'H16', 'A17']
['D16', 'E16', 'F16']
['A16', 'B16', 'C16']
['F15', 'G15', 'H15']
['C15', 'D15', 'E15']
['H14', 'A15', 'B15']
['E14', 'F14', 'G14']
['B14', 'C14', 'D14']
['G13', 'H13', 'A14']
['D13', 'E13', 'F13']
['A13', 'B13', 'C13']
['F12', 'G12', 'H12']
['C12', 'D12', 'E12']
['H11', 'A12', 'B12']
['E11', 'F11', 'G11']
['B11', 'C11', 'D11']
['G10', 'H10', 'A11']
['D10', 'E10', 'F10']
['A10', 'B10', 'C10']
['F9', 'G9', 'H9']
['C9', 'D9', 'E9']
['H8', 'A9', 'B9']
['E8', 'F8', 'G8']
['B8', 'C8', 'D8']
['G7', 'H7', 'A8']
['D7', 'E7', 'F7']
['A7', 'B7', 'C7']
['F6', 'G6', 'H6']
['C6', 'D6', 'E6']
['H5', 'A6', 'B6']
['E5', 'F5', 'G5']
['B5', 'C5', 'D5']
['G4', 'H4', 'A5']
['D4', 'E4', 'F4']
['A4', 'B4', 'C4']
['F3', 'G3', 'H3']
['C3', 'D3', 'E3']
['H2', 'A3', 'B3']
['E2', 'F2', 'G2']
['B2', 'C2', 'D2']
['G1', 'H1', 'A2']
['D1', 'E1', 'F1']
['A1', 'B1', 'C1']
['E0', 'F0', 'G0']
['B0', 'C0', 'D0']
['H0', 'C54', 'A0']
['57', '58', '59']
['54', '55', '56']
['51', '52', '53']
['48', '49', '50']
['45', '46', '47']
['42', '43', '44']
['39', '40', '41']
['36', '37', '38']
['33', '34', '35']
['30', '31', '32']
['16', '25', '28']
['3', '12', '13']
['17', '18', '0']
['20', '21', '29']
['10', '26', '14']
['24', '4', '8']
['1', '6', '15']
['22', '2', '23']
['11', '27', '19']
['5', '9', '7']
