['0']
['1']
['82', '130', '154', '174', '272', '363', '373', '366', '374']
['365', '368', '371', '390', '404', '405', '412', '20', '58', '71', '133', '140', '145', '152', '187', '205', '266', '299', '326', '358', '360', '369', '370', '406', '407', '431', '68']
['37', '39', '55', '62', '64', '81', '134', '143', '144', '147', '153', '176', '213', '243', '256', '258', '268', '269', '273', '282', '302', '312', '318', '323', '335', '361', '362']
['237', '241', '248', '253', '259', '261', '270', '274', '285', '308', '320', '367', '372', '387', '388', '396', '402', '403', '409', '410', '411', '419', '423', '424', '432', '9', '19']
['33', '34', '36', '38', '40', '41', '42', '43', '45', '48', '49', '53', '57', '74', '78', '84', '87', '102', '138', '148', '149', '150', '151', '182', '188', '217', '229']
['296', '301', '305', '306', '309', '311', '314', '319', '333', '346', '356', '375', '376', '377', '384', '394', '397', '400', '401', '413', '414', '5', '10', '11', '16', '17', '18']
['190', '203', '204', '206', '207', '208', '209', '212', '214', '215', '221', '225', '231', '235', '242', '246', '247', '252', '260', '263', '264', '277', '278', '279', '280', '283', '293']
['7', '13', '14', '15', '27', '29', '30', '35', '46', '51', '52', '54', '63', '67', '69', '72', '76', '80', '93', '94', '96', '125', '131', '137', '139', '146', '185']
['325', '330', '331', '332', '342', '348', '364', '383', '385', '389', '391', '392', '393', '408', '417', '418', '420', '422', '425', '430', '433', '434', '435', '436', '440', '2', '4']
['179', '180', '181', '192', '194', '201', '216', '222', '226', '227', '234', '250', '251', '255', '267', '271', '276', '284', '286', '287', '290', '297', '298', '307', '310', '315', '317']
['25', '26', '28', '31', '32', '44', '47', '61', '66', '70', '75', '79', '85', '86', '91', '104', '106', '111', '117', '119', '120', '124', '135', '136', '142', '162', '173']
['329', '334', '336', '337', '340', '341', '345', '349', '350', '352', '354', '355', '359', '381', '382', '386', '395', '398', '399', '415', '421', '438', '439', '3', '6', '8', '24']
['198', '200', '210', '219', '220', '228', '230', '232', '233', '236', '238', '239', '245', '249', '262', '265', '275', '288', '289', '291', '292', '294', '313', '321', '322', '324', '327']
['22', '56', '59', '60', '73', '89', '90', '92', '98', '99', '100', '101', '103', '114', '116', '122', '127', '141', '159', '163', '177', '178', '183', '189', '191', '195', '197']
['172', '184', '186', '193', '196', '202', '218', '223', '240', '244', '254', '257', '281', '295', '303', '304', '339', '343', '344', '353', '379', '380', '428', '437', '21']
['351', '357', '378', '416', '426', '429', '12', '23', '50', '65', '77', '83', '95', '97', '123', '126', '128', '129', '155', '156', '160', '161', '164', '167', '168', '170', '171']
['88', '158', '199', '224', '427', '112', '118', '165', '169', '316', '347', '105', '107', '108', '109', '110', '113', '115', '121', '132', '157', '166', '175', '211', '300', '328', '338']
