['457', '190']
['381', '59', '276', '484', '106', '147', '210', '138', '352', '409', '323', '390', '48', '361', '399', '105', '456', '49', '443', '435', '160', '13', '77']
['246', '214', '104', '222', '311', '69', '177', '243', '328', '283', '140', '155', '131', '310', '307', '260', '134', '350', '251', '337', '122', '360', '64']
['475', '465', '319', '485', '345', '373', '400', '333', '437', '141', '123', '143', '407', '462', '348', '157', '202', '1', '50', '442', '149', '200', '295']
['238', '395', '226', '275', '463', '90', '441', '351', '42', '217', '270', '445', '408', '206', '438', '464', '87', '212', '287', '330', '365', '216', '271']
['308', '227', '223', '124', '447', '386', '207', '119', '88', '85', '366', '188', '201', '16', '473', '81', '431', '416', '92', '33', '80', '282', '268']
['29', '199', '312', '118', '166', '6', '380', '343', '476', '89', '292', '117', '20', '252', '30', '280', '103', '452', '215', '368', '342', '340', '389']
['284', '159', '12', '10', '230', '163', '161', '115', '204', '171', '349', '359', '347', '102', '401', '116', '60', '459', '388', '151', '186', '14', '474']
['240', '460', '73', '355', '363', '422', '426', '315', '63', '269', '78', '304', '183', '321', '478', '46', '396', '394', '449', '100', '175', '135', '142']
['97', '397', '379', '482', '239', '95', '415', '213', '291', '326', '86', '247', '258', '362', '68', '329', '66', '427', '391', '54', '232', '285', '288']
['209', '403', '101', '266', '5', '405', '466', '470', '51', '324', '341', '364', '53', '9', '173', '165', '193', '231', '322', '410', '185', '453', '455']
['261', '189', '369', '479', '384', '72', '145', '94', '52', '299', '152', '137', '236', '274', '91', '318', '313', '294', '2', '305', '132', '481', '367']
['392', '450', '302', '128', '15', '220', '127', '168', '289', '454', '98', '257', '249', '278', '296', '192', '111', '354', '253', '28', '432', '421', '22']
['262', '472', '248', '393', '327', '273', '76', '439', '423', '420', '477', '195', '225', '7', '418', '357', '245', '382', '233', '170', '306', '440', '18']
['265', '314', '461', '467', '26', '180', '133', '242', '99', '96', '417', '398', '113', '112', '110', '468', '179', '419', '301', '458', '229', '446', '130']
['325', '378', '385', '279', '383', '237', '300', '331', '412', '74', '23', '79', '402', '178', '39', '38', '277', '219', '21', '114', '8', '27', '24']
['211', '167', '339', '358', '82', '65', '47', '182', '434', '344', '57', '162', '153', '144', '234', '198', '11', '125', '374', '31', '208', '281', '286']
['436', '174', '414', '480', '34', '148', '376', '372', '298', '336', '228', '334', '444', '154', '387', '241', '3', '448', '272', '303', '93', '332', '203']
['191', '139', '37', '433', '67', '17', '316', '371', '58', '164', '25', '35', '218', '224', '264', '4', '108', '71', '413', '197', '370', '377', '44']
['169', '184', '158', '136', '196', '194', '259', '254', '309', '346', '353', '356', '375', '70', '121', '150', '244', '250', '256', '290', '411', '293', '45']
['430', '83', '235', '176', '425', '469', '126', '172', '338', '221', '267', '40', '156', '263', '451', '404', '428', '297', '335', '36', '84', '43', '129']
['61', '471', '55', '120', '320', '181', '109', '317', '41', '483', '146', '107', '19', '429', '406', '424', '56', '75', '255', '187', '32', '62', '205']
