['33']
['325']
['85']
['377']
['351']
['94']
['135']
['432']
['347']
['384']
['216']
['415']
['234']
['178']
['156']
['319']
['482']
['106']
['250']
['403']
['260']
['466']
['69']
['408']
['161']
['18']
['396']
['226']
['163']
['4']
['302']
['152']
['400']
['21', '257']
['245', '350', '180']
['61', '285', '494']
['197', '317', '5']
['173', '112', '451']
['198', '268', '164']
['378', '255', '290']
['45', '29', '252']
['235', '210', '324']
['186', '427', '220']
['478', '322', '6']
['480', '371', '11']
['444', '372', '205']
['130']
['364', '129', '395']
['489', '91', '336']
['409', '53', '224']
['431', '479', '298']
['158', '19', '386']
['476', '102', '370']
['147', '430', '145']
['428', '67', '149']
['314', '26', '337']
['3', '349', '219']
['277', '71', '272']
['313']
['358', '82', '171']
['393', '335', '280']
['48', '331', '412']
['406', '221', '46']
['74', '361', '281']
['188', '228', '0']
['491', '490', '138']
['284', '388', '355']
['241', '402', '312']
['279', '62', '439']
['143', '470', '31']
['28', '44', '247']
['338', '421', '175']
['398', '334', '246']
['244', '307', '405']
['342', '108', '114']
['458', '146', '65']
['116', '75', '297']
['16', '181', '249']
['122', '190', '483']
['83', '269', '179']
['141', '429', '397']
['79', '211', '426']
['115', '296', '353']
['40', '140']
['137']
['57', '498']
['89', '356', '311']
['251', '259', '289']
['256', '473', '330']
['118', '194', '366']
['127', '10', '445']
['326', '218', '232']
['238', '434', '292']
['41', '47', '497']
['437', '187', '410']
['474', '360', '155']
['419', '447', '462']
['320', '64', '22']
['125', '192', '126']
['87', '380', '30']
['93', '168', '305']
['299', '38', '78']
['367', '484', '467']
['414', '374', '270']
['165', '460', '389']
['86', '99', '206']
['365', '204', '422']
['166', '486', '435']
['215', '258', '142']
['420']
['454']
['457', '239', '475']
['253', '50', '448']
['493', '348', '340']
['288', '217', '157']
['382', '452', '117']
['77', '243', '274']
['264', '133', '128']
['304', '472', '407']
['346', '481', '487']
['176', '310', '309']
['17', '375', '81']
['222', '464', '492']
['231', '465', '24']
['111', '73', '499']
['233', '56', '278']
['63', '96', '496']
['477', '159', '101']
['328', '37', '327']
['203', '273', '456']
['394', '189', '343']
['286', '20', '150']
['385', '104', '172']
['417', '416', '84']
['449', '88', '107']
['195', '120', '461']
[]
['300']
['373']
['196', '287', '471']
['136', '144', '207']
['174', '139', '387']
['132', '36', '27']
['418', '236', '153']
['208', '321', '267']
['332', '354', '49']
['423', '379', '201']
['266', '98', '1']
['413', '42', '359']
['66', '424', '303']
['341', '39', '329']
['148', '294', '185']
['301', '240', '177']
['110', '213', '276']
['105', '209', '124']
['15', '182', '70']
['440', '58', '214']
['32', '229', '92']
['55', '459', '154']
['399', '59']
['352', '76', '404']
['113', '13', '2']
['293', '242', '52']
['230', '438', '14']
['333', '34', '254']
['119', '381', '134']
['391', '271', '227']
['442', '443', '376']
['202', '282', '363']
['160', '109', '469']
['315', '263', '345']
['295', '453', '436']
['463', '362', '495']
['199', '344', '392']
['237']
['318', '468', '60']
['212', '23', '35']
['225', '121', '12']
['170', '248', '25']
['68', '323', '450']
['275', '90', '131']
['485']
['446']
['97', '306', '80']
['291', '51', '169']
['425', '262', '433']
['316', '357', '95']
['401', '488', '103']
['411', '162', '8']
['7', '368']
['223']
['193', '455', '123']
['308', '43', '200']
['54', '72', '261']
['167', '151', '100']
['265', '184']
['191', '183', '339']
['369', '9']
['383', '283']
['390', '441']
