['315', '327', '331', '335', '347', '351', '355', '366', '367', '371', '375', '378', '380', '385', '386', '387', '391', '395', '396', '398']
['352', '372', '392', '374', '394', '0', '2', '7', '9', '14', '15', '17', '19', '22', '35', '37', '275', '287', '295', '307']
['311', '27', '47', '67', '20', '107', '127', '147', '167', '187', '207', '227', '247', '267', '6', '373', '393', '292', '312', '332']
['350', '370', '390', '340', '360', '285', '305', '325', '345', '365', '397', '131', '151', '171', '191', '211', '231', '251', '271', '291']
['389', '111', '344', '364', '384', '42', '338', '358', '8', '4', '57', '13', '356', '376', '5', '255', '270', '290', '310', '330']
['142', '162', '182', '202', '222', '242', '262', '282', '302', '322', '342', '362', '382', '89', '269', '289', '309', '329', '349', '369']
['26', '46', '272', '230', '250', '86', '39', '326', '346', '87', '354', '383', '29', '49', '69', '319', '339', '359', '379', '399']
['333', '353', '77', '97', '357', '377', '55', '25', '185', '205', '225', '245', '265', '155', '175', '195', '215', '235', '12', '32']
['11', '31', '51', '71', '91', '324', '1', '24', '40', '18', '218', '238', '258', '278', '298', '318', '348', '368', '388', '313']
['105', '165', '66', '232', '252', '106', '286', '306', '300', '320', '109', '249', '363', '34', '122', '28', '10', '30', '90', '110']
['3', '23', '16', '198', '75', '95', '117', '137', '157', '177', '197', '217', '237', '257', '277', '297', '317', '337', '336', '85']
['62', '82', '102', '50', '70', '130', '150', '170', '190', '210', '264', '284', '304', '321', '341', '361', '381', '294', '314', '334']
['266', '45', '65', '52', '115', '135', '125', '145', '59', '79', '99', '240', '260', '280', '209', '229', '283', '303', '323', '343']
['193', '213', '233', '253', '273', '293', '36', '56', '38', '178', '316', '33', '53', '126', '146', '166', '186', '206', '226', '246']
['220', '129', '149', '169', '189', '54', '259', '279', '299', '48', '248', '268', '288', '308', '328', '244', '274', '44', '64', '173']
['261', '281', '301', '133', '153', '276', '296', '58', '158', '73', '93', '72', '92', '212', '60', '80', '100', '160', '180', '200']
['234', '254', '119', '139', '159', '179', '199', '219', '239', '68', '88', '168', '188', '208', '228', '204', '224', '21', '41', '241']
['148', '124', '144', '164', '184', '201', '221', '113', '112', '120', '140', '43', '63', '103', '163', '183', '203', '223', '243', '263']
['216', '236', '256', '84', '104', '161', '181', '172', '192', '83', '123', '143', '74', '154', '174', '194', '214', '78', '108', '128']
['121', '81', '101', '141', '61', '132', '152', '94', '114', '134', '98', '118', '138', '76', '96', '116', '136', '156', '176', '196']
