['279']
['51', '89', '290', '249', '5', '24', '195', '206', '208', '332']
['162', '73', '353', '11', '42', '179', '76', '373', '310', '369', '331', '140', '371', '397', '209', '320', '282', '381', '261', '164', '129', '153', '25', '233', '325', '45', '134', '41', '222', '56']
['36', '130', '109', '84', '358', '120', '150', '341', '301', '102', '258', '171', '359', '125', '234', '141', '31', '384', '50', '27', '97', '374', '393', '13', '18', '364', '67', '399', '357', '223']
['200', '203', '386', '55', '307', '133', '143', '142', '180', '106', '196', '64', '111', '302', '7', '246', '241', '10', '34', '312', '242', '344', '192', '123', '380', '221', '314', '189', '149', '178']
['272', '285', '323', '79', '165', '271', '19', '361', '264', '346', '219', '299', '148', '389', '210', '224', '392', '278', '26', '193', '53', '3', '305', '146', '213', '8', '340', '214', '160', '187']
['297', '128', '175', '0', '86', '91', '131', '152', '66', '283', '147', '78', '201', '176', '207', '327', '363', '110', '99', '21', '92', '181', '40', '167', '39', '14', '117', '98', '293']
['343', '184', '216', '232', '136', '262', '191', '253', '254', '339', '370', '334', '220', '226', '328', '132', '251', '267', '157', '348', '197', '58', '236', '33', '387', '231', '349', '379', '54', '366']
['119', '345', '82', '6', '294', '259', '354', '295', '368', '243', '17', '365', '74', '96', '376', '398', '168', '60', '173', '291', '61', '322', '275', '59', '94', '230', '378', '263', '395', '57']
['277', '48', '85', '352', '163', '298', '394', '16', '190', '385', '107', '390', '292', '161', '300', '228', '281', '324', '342', '186', '185', '44', '237', '15', '266', '260', '215', '308', '268', '158']
['49', '37', '296', '204', '329', '240', '205', '289', '347', '4', '80', '135', '375', '284', '303', '336', '229', '166', '372', '68', '304', '118', '239', '227', '28', '273', '306', '218', '144', '77']
['103', '170', '75', '287', '115', '116', '65', '315', '172', '202', '43', '330', '217', '126', '100', '288', '104', '245', '270', '360', '38', '93', '199', '29', '182', '356', '256', '69', '87', '114']
['23', '22', '319', '177', '188', '326', '212', '362', '350', '88', '382', '81', '335', '46', '265', '63', '211', '248', '317', '127', '12', '20', '35', '2', '269', '145', '139', '70', '108', '396']
['151', '388', '337', '235', '71', '47', '280', '391', '252', '1', '318', '309', '286', '194', '274', '72', '122', '313', '257', '169', '156', '62', '250', '367', '333', '154', '183', '124', '247', '112']
['244', '95', '311', '338', '137', '255', '155', '316', '101', '225', '321', '198', '105', '174', '32', '138', '83', '90', '238', '383', '113', '30', '159', '9', '355', '377', '276', '52', '121', '351']
