['368', '379', '392', '2', '288']
['93', '273', '328', '384', '495']
['293', '260', '475', '156', '336']
['239', '305', '415', '125', '197']
['250', '70', '391', '149', '278']
['111', '262', '128', '90', '180']
['71', '34', '287', '301', '1']
['176', '390', '30', '394', '231']
['492', '247', '271', '450', '97']
['279', '159', '333', '25', '307']
['99', '137', '16', '86', '230']
['7', '120', '191', '445', '3']
['51', '141', '282', '466', '480']
['267', '439', '442', '460', '457']
['150', '12', '363', '497', '367']
['375', '89', '225', '241', '425']
['112', '132', '117', '427', '48']
['274', '116', '168', '464', '269']
['347', '364', '127', '402', '227']
['297', '291', '440', '15', '437']
['276', '5', '398', '196', '238']
['369', '256', '432', '322', '474']
['345', '455', '339', '352', '215']
['228', '433', '411', '387', '11']
['396', '214', '178', '38', '66']
['302', '115', '85', '101', '294']
['109', '162', '42', '275', '420']
['243', '205', '327', '414', '185']
['456', '68', '265', '355', '87']
['124', '201', '423', '331', '221']
['408', '280', '79', '199', '41']
['37', '285', '189', '59', '9']
['453', '129', '462', '118', '153']
['19', '376', '177', '417', '151']
['78', '341', '92', '300', '224']
['184', '81', '198', '142', '229']
['290', '69', '157', '104', '169']
['194', '167', '183', '264', '395']
['222', '161', '219', '311', '312']
['0', '175', '494', '190', '163']
['235', '77', '359', '254', '430']
['289', '342', '472', '388', '44']
['277', '467', '403', '413', '105']
['303', '405', '416', '485', '186']
['487', '22', '326', '106', '20']
['351', '407', '404', '426', '483']
['181', '28', '316', '13', '313']
['325', '409', '220', '39', '284']
['135', '200', '173', '292', '143']
['438', '140', '410', '463', '323']
['371', '489', '240', '486', '458']
['195', '406', '468', '152', '459']
['319', '236', '95', '14', '446']
['35', '76', '382', '134', '107']
['259', '23', '53', '397', '212']
['49', '56', '378', '249', '478']
['299', '443', '54', '340', '314']
['400', '172', '110', '268', '374']
['21', '465', '148', '418', '306']
['261', '108', '444', '498', '332']
['330', '10', '258', '372', '360']
['493', '61', '244', '434', '484']
['74', '60', '58', '17', '6']
['448', '8', '255', '72', '146']
['226', '365', '188', '122', '164']
['45', '452', '73', '94', '496']
['18', '52', '298', '166', '386']
['335', '441', '217', '490', '31']
['80', '428', '357', '160', '75']
['65', '473', '449', '211', '272']
['421', '361', '266', '454', '270']
['57', '346', '499', '315', '55']
['145', '477', '100', '165', '393']
['424', '385', '435', '26', '171']
['47', '304', '33', '29', '147']
['82', '252', '318', '216', '213']
['131', '429', '32', '344', '237']
['234', '370', '354', '119', '373']
['223', '469', '144', '154', '193']
['491', '46', '348', '130', '308']
['257', '321', '488', '158', '103']
['210', '24', '482', '232', '253']
['383', '353', '43', '419', '263']
['136', '27', '91', '83', '174']
['179', '139', '447', '50', '88']
['320', '317', '471', '126', '422']
['349', '310', '206', '401', '138']
['412', '98', '470', '40', '84']
['233', '329', '36', '248', '203']
['123', '102', '389', '63', '155']
['251', '281', '358', '96', '62']
['295', '461', '481', '334', '324']
['121', '202', '377', '309', '350']
['192', '338', '476', '218', '242']
['114', '64', '366', '451', '245']
['182', '356', '337', '67', '209']
['343', '283', '479', '436', '4']
['113', '187', '381', '380', '204']
['207', '208', '296', '170', '362']
['431', '286', '133', '399', '246']
