['38']
['419']
['444']
['463', '465', '466', '470', '473', '475', '480', '484']
['393', '401', '402', '407', '409', '414', '417', '420', '445', '449', '452', '455']
['314', '333', '335', '343', '357', '361', '368', '373', '375', '376', '378', '390']
['252', '258', '260', '262', '264', '282', '284', '288', '295', '300', '304', '306']
['196', '198', '199', '200', '215', '227', '229', '232', '236', '239', '247', '250']
['140', '154', '167', '168', '172', '176', '178', '180', '183', '187', '190', '195']
['62', '63', '67', '77', '83', '88', '92', '109', '112', '120', '132', '138']
['142', '135', '386', '297', '240', '179', '4', '8', '12', '18', '25', '43']
['91', '431', '380', '474', '136', '128', '141', '103', '265', '256', '35', '162']
['257', '64', '39', '213', '204', '268', '210', '192', '155', '341', '29', '285']
['173', '2', '412', '238', '450', '163', '115', '159', '242', '219', '60', '275']
['20', '223', '360', '249', '323', '45', '398', '124', '472', '9', '188', '446']
['130', '427', '121', '1', '266', '126', '133', '79', '461', '358', '216', '152']
['166', '497', '233', '255', '123', '451', '205', '95', '441', '27', '331', '110']
['89', '274', '347', '161', '21', '244', '434', '301', '234', '19', '389', '291']
['15', '362', '283', '26', '145', '293', '489', '440', '251', '410', '411', '191']
['305', '125', '224', '107', '442', '175', '486', '303', '468', '337', '428', '458']
['289', '80', '483', '315', '94', '3', '344', '253', '101', '336', '7', '307']
['322', '37', '117', '76', '131', '59', '496', '298', '174', '296', '214', '147']
['334', '116', '93', '277', '139', '22', '482', '460', '388', '146', '248', '391']
['363', '270', '134', '462', '34', '28', '105', '44', '392', '75', '399', '24']
['438', '487', '432', '41', '405', '338', '493', '319', '346', '481', '160', '476']
['278', '90', '324', '485', '78', '387', '209', '364', '437', '467', '57', '418']
['471', '86', '276', '42', '158', '498', '429', '98', '349', '286', '129', '424']
['348', '327', '68', '96', '171', '469', '50', '241', '54', '332', '72', '203']
['5', '312', '246', '226', '81', '47', '61', '372', '425', '339', '137', '122']
['464', '454', '370', '114', '151', '14', '84', '85', '279', '193', '385', '225']
['149', '272', '13', '170', '374', '359', '320', '342', '309', '354', '165', '208']
['144', '184', '263', '143', '70', '186', '447', '212', '40', '23', '10', '299']
['415', '113', '46', '426', '51', '211', '273', '55', '325', '148', '423', '65']
['156', '201', '345', '99', '292', '53', '71', '33', '207', '118']
['206', '383', '66', '310', '287', '182', '456', '328', '350', '369', '31', '459']
['436', '371', '32', '261', '416', '395', '479', '356', '492', '326', '243', '494']
['379', '73', '308', '413', '271', '228', '230', '245', '294', '477', '406', '185']
['317', '488', '69', '394', '321', '111', '189', '433', '153', '443', '222', '457']
['106', '367', '181', '290', '49', '490', '381', '400', '127', '408', '119', '87']
['254', '439', '269', '220', '30', '340', '422', '0', '499', '302', '58', '329']
['318', '104', '351', '435', '97', '157', '197', '316', '281', '100', '355']
['217', '48', '177', '74', '102', '259', '397', '491', '36', '353', '202', '430']
['495', '16', '221', '150', '377', '17', '237', '194', '231', '384', '366', '403']
['396', '267', '311', '218', '382', '82', '448', '313', '235', '478', '404', '352']
['365', '11', '52', '6', '169', '453', '56', '280', '164', '330', '108', '421']
