['75']
['318']
['359']
['473', '475', '476', '477', '478', '479', '480', '481', '482', '484', '485', '486', '488', '489', '491', '492', '494', '495', '497', '499']
['431', '432', '433', '434', '435', '436', '437', '439', '440', '442', '443', '444', '445', '446', '448', '449', '450', '451', '452', '454', '455', '457', '461', '462', '464', '466', '468', '469', '470', '471']
['380', '381', '382', '384', '386', '388', '390', '392', '393', '394', '396', '397', '399', '401', '402', '403', '405', '406', '407', '408', '409', '410', '411', '415', '416', '421', '423', '426', '428', '430']
['337', '339', '341', '345', '346', '348', '351', '354', '355', '356', '357', '358', '360', '361', '362', '363', '364', '365', '366', '367', '368', '369', '370', '371', '373', '374', '375', '376', '377', '379']
['291', '293', '294', '295', '296', '297', '299', '303', '305', '307', '308', '309', '311', '312', '313', '314', '315', '317', '320', '321', '322', '323', '324', '326', '327', '330', '331', '333', '334', '336']
['252', '253', '254', '255', '256', '258', '259', '260', '261', '262', '263', '265', '266', '267', '268', '269', '270', '273', '274', '275', '276', '277', '278', '280', '281', '284', '286', '287', '289', '290']
['216', '218', '219', '222', '224', '225', '227', '228', '229', '230', '231', '232', '233', '234', '235', '236', '237', '238', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '250', '251']
['171', '173', '174', '175', '176', '178', '179', '180', '183', '184', '186', '193', '194', '195', '197', '198', '199', '200', '201', '202', '204', '205', '206', '207', '209', '211', '212', '213', '214', '215']
['129', '130', '131', '132', '133', '136', '138', '139', '140', '142', '143', '144', '145', '147', '148', '149', '152', '153', '154', '155', '156', '157', '161', '162', '165', '166', '167', '168', '169', '170']
['89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '107', '108', '109', '110', '111', '113', '114', '115', '116', '117', '118', '119', '123', '126', '128']
['55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '76', '77', '78', '79', '80', '81', '84', '85', '86', '87']
['17', '18', '19', '20', '21', '22', '23', '24', '27', '28', '30', '31', '32', '33', '34', '35', '36', '37', '38', '41', '42', '43', '44', '45', '46', '47', '48', '51', '52', '54']
['141', '226', '288', '413', '460', '158', '181', '472', '343', '189', '279', '483', '496', '344', '441', '0', '1', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16']
['124', '340', '453', '151', '306', '391', '125', '419', '338', '134', '223', '424', '292', '301', '347', '25', '221', '389', '39', '82', '210', '191', '264', '106', '239', '498', '404', '438', '467', '50']
['164', '185', '49', '104', '400', '29', '217', '177', '417', '487', '83', '271', '319', '465', '53', '172', '425', '282', '192', '304', '427', '14', '88', '422', '429', '398', '493', '121', '220', '298']
['135', '316', '459', '127', '283', '203', '310', '325', '329', '456', '474', '112', '137', '285', '418', '159', '342', '349', '5', '352', '420', '458', '150', '160', '187', '257', '196', '272', '353', '414']
['332', '328', '146', '387', '412', '163', '40', '335', '300', '120', '490', '122', '463', '385', '190', '208', '378', '372', '105', '182', '350', '447', '26', '188', '302', '383', '395']
