['121', '191', '67', '22', '254', '172', '137', '29', '277', '232', '154', '352', '1', '2', '3', '4', '5']
['12', '119', '255', '353', '170', '275', '299', '252', '107', '230', '377', '30', '104', '54', '65', '138', '301', '56', '92', '46', '79', '8', '6', '7', '37', '106', '11', '211', '326', '16']
['77', '90', '14', '324', '233', '152', '23', '57', '27', '20', '93', '17', '35', '192', '44', '350', '278', '173', '47', '80', '9', '189', '209', '212', '155', '135', '327', '68', '38', '122']
['241', '342', '242', '88', '76', '376', '298', '151', '26', '134', '19', '251', '89', '349', '34', '43', '188', '208', '15', '13', '323', '118', '53', '64', '169', '103', '274', '229', '10', '302']
['69', '364', '139', '39', '322', '117', '74', '75', '367', '368', '198', '142', '296', '339', '340', '338', '83', '369', '124', '313', '341', '359', '334', '256', '257', '165', '343', '355', '311', '221']
['219', '220', '123', '86', '213', '147', '156', '197', '21', '267', '248', '265', '266', '312', '95', '218', '163', '164', '87', '217', '129', '82', '238', '246', '321', '101', '126', '125', '215', '216']
['187', '32', '31', '258', '259', '97', '96', '40', '214', '130', '131', '61', '365', '366', '347', '207', '140', '141', '357', '358', '225', '128', '356', '73', '111', '245', '222', '160', '345', '360']
['81', '48', '307', '270', '271', '166', '291', '290', '263', '264', '33', '269', '268', '144', '318', '319', '243', '244', '41', '305', '250', '284', '285', '294', '179', '180', '178', '143', '228', '113']
['186', '184', '344', '203', '202', '249', '42', '314', '239', '176', '177', '70', '71', '99', '100', '98', '332', '333', '183', '279', '174', '175', '149', '167', '168', '373', '288', '289', '287', '286']
['84', '85', '102', '112', '51', '115', '116', '114', '362', '363', '361', '205', '206', '94', '181', '182', '247', '309', '310', '308', '158', '159', '283', '52', '62', '63', '348', '199', '306', '185']
['150', '24', '261', '262', '204', '127', '108', '72', '49', '50', '157', '25', '146', '272', '273', '295', '354', '292', '293', '133', '132', '320', '161', '162', '18', '145', '330', '331', '223', '224']
['315', '371', '372', '370', '195', '196', '194', '328', '329', '236', '237', '235', '59', '60', '58', '200', '201', '375', '374', '346', '109', '110', '281', '282', '280', '193', '297', '240', '148', '234']
['325', '351', '300', '276', '253', '231', '210', '190', '171', '153', '136', '120', '105', '91', '78', '66', '55', '45', '36', '28', '226', '227', '260', '303', '304', '336', '337', '335', '316', '317']
