['50']
['296']
['410', '413', '415', '420', '428', '459', '498']
['273', '279', '287', '293', '300', '303', '339', '342', '363', '365', '373', '376', '388', '389', '390', '394', '406']
['101', '110', '113', '121', '133', '139', '154', '163', '191', '208', '219', '240', '242', '246', '248', '250', '260']
['98', '48', '349', '276', '275', '466', '211', '446', '0', '11', '18', '21', '41', '71', '74', '92', '95']
['409', '185', '47', '171', '217', '432', '45', '351', '312', '411', '489', '135', '476', '412', '358', '283', '288']
['335', '423', '102', '301', '23', '49', '149', '407', '325', '475', '100', '386', '469', '465', '128', '464', '209']
['182', '155', '220', '308', '452', '324', '14', '257', '449', '357', '330', '294', '263', '99', '426', '249', '184']
['114', '247', '194', '443', '368', '159', '137', '461', '311', '59', '477', '268', '347', '256', '457', '61', '436']
['193', '484', '156', '316', '317', '343', '285', '170', '331', '8', '86', '6', '267', '425', '107', '305', '70']
['228', '418', '424', '419', '225', '438', '203', '304', '216', '94', '27', '479', '478', '64', '148', '199', '270']
['481', '9', '88', '431', '231', '136', '348', '468', '43', '450', '416', '241', '218', '264', '39', '400', '362']
['364', '404', '495', '313', '215', '210', '130', '442', '470', '434', '131', '391', '456', '414', '448', '63', '472']
['458', '369', '483', '350', '327', '192', '83', '187', '165', '239', '382', '254', '380', '72', '251', '245', '243']
['7', '328', '79', '352', '31', '321', '497', '189', '57', '291', '15', '93', '29', '230', '3', '377', '80']
['244', '437', '53', '402', '19', '162', '124', '490', '298', '299', '51', '118', '487', '38', '421', '451', '371']
['141', '361', '261', '441', '367', '405', '397', '10', '255', '336', '462', '82', '42', '65', '302', '35', '236']
['315', '195', '223', '13', '224', '372', '494', '44', '284', '234', '190', '374', '282', '204', '212', '32', '274']
['332', '258', '126', '259', '307', '34', '140', '435', '370', '173', '384', '40', '278', '87', '238', '179', '471']
['178', '56', '488', '429', '145', '129', '455', '323', '486', '467', '181', '134', '453', '292', '493', '89', '492']
['2', '112', '381', '97', '383', '445', '295', '1', '146', '143', '447', '81', '496', '176', '395', '197', '144']
['334', '306', '271', '198', '433', '158', '269', '186', '188', '69', '235', '480', '440', '499', '337', '393', '408']
['378', '353', '226', '314', '213', '344', '75', '430', '104', '233', '172', '326', '417', '25', '206', '147', '120']
['180', '36', '90', '166', '289', '221', '177', '262', '454', '117', '474', '392', '22', '341', '422', '122', '473']
['111', '398', '67', '109', '387', '360', '272', '463', '290', '401', '68', '183', '127', '160', '253', '142', '201']
['222', '319', '55', '460', '85', '202', '28', '281', '105', '46', '4', '76', '252', '345', '66', '151', '338']
['200', '266', '26', '207', '229', '174', '150', '375', '33', '157', '491', '62', '403', '77', '119', '427', '17']
['164', '318', '309', '12', '280', '333', '60', '16', '310', '30', '354', '379', '297', '103', '152', '24', '329']
['37', '116', '153', '366', '237', '78', '175', '52', '108', '106', '346', '322', '169', '355', '320', '277', '444']
['356', '359', '123', '396', '439', '91', '482', '399', '5', '196', '232', '58', '214', '205', '84', '115', '20']
['167', '485', '161', '54', '138', '340', '265', '73', '286', '168', '385', '96', '125', '227', '132']
