['a5', 'n4', 'c2', 'c8', 'g4', 'e7', 'e9', 'l7', 'l9', 'f1']
['q5', 'p10', 'r10', 'l10', 'v9', 'x2', 'x5', 't4', 'l1', 'c1']
['f5', 'v4', 'k2', 'w2', 'w7', 'e6', 'e10', 'e5', 'j2', 'd5']
['f3', 'c7', 'r8', 'b6', 'n2', 'o10', 'f2', 'l3', 'v3', 'd4']
['a6', 's10', 'i5', 'g1', 'c5', 'f4', 'h4', 'g7', 'm8', 'g3']
['p3', 'a1', 'm3', 's9', 'q1', 'f7', 'f9', 'l2', 'l5', 'm1']
['k7', 'o9', 'r6', 'b3', 'i8', 'a10', 'i1', 'a7', 'j8', 'j6']
['d10', 'f8', 'o7', 'r4', 'r2', 't6', 'l4', 'x4', 'b1', 'n5']
['p2', 'p1', 'x9', 'f6', 'c4', 'h9', 't9', 'g9', 'g6', 'r3']
['o4', 'q9', 'k3', 'x7', 'l8', 'a9', 'h6', 'i4', 'p8', 'p5']
['u3', 'u4', 'p4', 'p9', 'n8', 'm7', 'y1', 'e3', 'a4', 'y8']
['r1', 'c9', 'h7', 'v2', 'w8', 'y4', 'j9', 'f10', 'r9', 'u7']
['w6', 'b10', 'a8', 'r5', 'v8', 'b4', 'x1', 'c3', 'i6', 'v1']
['x10', 's6', 'k10', 'e2', 'e4', 'h2', 'h3', 'h1', 'g10', 'g8']
['d3', 'i10', 'x6', 'q7', 'e8', 'b5', 'v5', 'o3', 'q6', 'q10']
['k9', 'p6', 'u5', 'u8', 's7', 'q4', 'q8', 'm10', 'y2', 'm4']
['n9', 'k6', 'q3', 'j4', 'j1', 'j10', 'p7', 'k4', 'k1', 'j3']
['h5', 't1', 'h10', 'y10', 's4', 'd6', 'o2', 'i3', 'b7', 'n7']
['v7', 'e1', 'n1', 'b9', 'o1', 'v10', 'y7', 'g2', 'i2', 'i7']
['u10', 'u6', 'w3', 'w5', 's1', 's3', 's8', 's5', 'o5', 'm9']
['n3', 't8', 't2', 't7', 't3', 't5', 'i9', 'n10', 'k5', 'u9']
['a3', 'm2', 'x8', 'x3', 'n6', 'k8', 'g5', 'c10', 'l6', 'b8']
['o6', 'b2', 'j7', 'v6', 'y3', 'a2', 'y5', 'd8', 'r7', 'd2']
['y6', 'j5', 'm6', 'c6', 'u1', 'w1', 'w9', 'w10', 'h8', 'm5']
['t10', 'd1', 'w4', 'd7', 's2', 'y9', 'd9', 'q2', 'u2', 'o8']
