['39']
['98']
['170']
['253']
['328']
['96', '280', '312', '372', '467', '172', '183', '198', '414', '464']
['1', '162', '248', '256', '309', '11', '119', '149', '181', '443', '40', '52', '136', '179', '429', '61', '65', '97', '192', '417', '46', '79', '164', '222', '374', '7', '41', '73', '355', '485', '60', '63', '173', '252', '385']
['22', '155', '272', '395', '465', '124', '158', '165', '215', '457', '95', '226', '317', '433', '469', '141', '178', '218', '375', '466', '27', '78', '138', '306', '450', '16', '42', '72', '135', '282', '6', '34', '112', '320', '359']
['30', '31', '326', '344', '389', '50', '191', '208', '265', '332', '103', '142', '258', '298', '348', '13', '15', '18', '137', '153', '99', '246', '304', '349', '435', '5', '139', '157', '261', '268', '185', '194', '200', '311', '346']
['10', '270', '365', '418', '481', '251', '274', '275', '297', '319', '206', '239', '273', '434', '463', '49', '146', '237', '292', '392', '36', '45', '188', '303', '475', '0', '264', '269', '468', '499', '107', '219', '294', '426', '442']
['90', '134', '286', '384', '407', '150', '284', '324', '462', '479', '48', '81', '290', '390', '399', '92', '176', '249', '322', '460', '118', '175', '431', '439', '470', '28', '51', '174', '259', '416', '3', '91', '283', '310', '472']
['2', '12', '44', '243', '296', '180', '281', '361', '391', '473', '276', '305', '478', '482', '496', '100', '113', '277', '300', '364', '21', '76', '121', '329', '495', '156', '159', '160', '241', '362', '38', '240', '255', '352', '432']
['82', '122', '250', '262', '325', '66', '223', '227', '370', '406', '29', '212', '378', '427', '494', '101', '132', '195', '209', '335', '25', '225', '337', '376', '430', '26', '80', '114', '221', '379', '37', '88', '109', '288', '444']
['71', '214', '263', '397', '413', '163', '267', '313', '314', '408', '24', '108', '167', '203', '242', '342', '369', '419', '446', '459', '17', '144', '334', '368', '491', '125', '184', '196', '331', '436', '186', '363', '380', '401', '456']
['202', '295', '336', '445', '493', '210', '232', '321', '347', '486', '123', '231', '354', '383', '440', '14', '62', '230', '278', '367', '104', '189', '291', '293', '425', '68', '245', '302', '318', '393', '20', '64', '287', '307', '373']
['111', '129', '217', '371', '411', '271', '341', '453', '474', '483', '87', '405', '409', '410', '415', '53', '86', '285', '461', '476', '77', '207', '394', '458', '498', '266', '338', '350', '437', '454', '23', '117', '120', '152', '154']
['147', '182', '238', '345', '441', '47', '69', '110', '133', '143', '35', '75', '233', '381', '489', '190', '308', '316', '358', '386', '205', '257', '301', '477', '487', '8', '74', '171', '289', '404', '19', '32', '315', '388', '412']
['59', '85', '211', '484', '488', '169', '220', '356', '402', '428', '43', '54', '55', '228', '490', '145', '260', '339', '353', '422', '56', '89', '127', '299', '447', '67', '116', '187', '199', '327', '9', '130', '201', '213', '330']
['84', '131', '140', '343', '497', '126', '161', '168', '279', '423', '93', '244', '366', '396', '403', '70', '193', '197', '340', '451', '105', '204', '333', '377', '480', '106', '115', '234', '382', '400', '57', '148', '166', '229', '492']
['102', '177', '247', '387', '421', '151', '323', '360', '452', '455', '254', '398', '438', '448', '471', '4', '83', '351', '420', '424', '58', '94', '128', '216', '224', '33', '235', '236', '357', '449']
