['124', '159', '194', '229', '264', '299', '334']
['293', '306', '328', '341', '19', '54', '89']
['166', '188', '201', '223', '236', '258', '271']
['48', '61', '83', '96', '118', '131', '153']
['187', '222', '257', '292', '327', '13', '26']
['347', '349', '12', '47', '82', '117', '152']
['326', '316', '322', '332', '336', '342', '343']
['287', '297', '301', '307', '308', '312', '314']
['266', '272', '273', '277', '279', '291', '281']
['238', '242', '244', '256', '246', '252', '262']
['209', '221', '211', '217', '227', '231', '237']
['176', '182', '192', '196', '202', '203', '207']
['157', '161', '167', '168', '172', '174', '186']
['132', '133', '137', '139', '151', '141', '147']
['102', '104', '116', '106', '112', '122', '126']
['81', '71', '77', '87', '91', '97', '98']
['42', '52', '56', '62', '63', '67', '69']
['21', '27', '28', '32', '34', '46', '36']
['317', '345', '348', '11', '1', '7', '17']
['275', '278', '294', '282', '310', '313', '329']
['208', '224', '212', '240', '243', '259', '247']
['154', '142', '170', '173', '189', '177', '205']
['72', '100', '103', '119', '107', '135', '138']
['30', '33', '49', '37', '65', '68', '84']
['330', '331', '338', '339', '344', '14', '2']
['269', '274', '295', '296', '303', '304', '309']
['226', '233', '234', '239', '260', '261', '268']
['169', '190', '191', '198', '199', '204', '225']
['128', '129', '134', '155', '156', '163', '164']
['85', '86', '93', '94', '99', '120', '121']
['24', '29', '50', '51', '58', '59', '64']
['321', '335', '337', '346', '15', '16', '23']
['276', '284', '286', '300', '302', '311', '319']
['230', '232', '241', '249', '251', '265', '267']
['179', '181', '195', '197', '206', '214', '216']
['127', '136', '144', '146', '160', '162', '171']
['76', '90', '92', '101', '109', '111', '125']
['31', '39', '41', '55', '57', '66', '74']
['305', '323', '340', '4', '6', '20', '22']
['183', '200', '218', '235', '253', '270', '288']
['60', '78', '95', '113', '130', '148', '165']
['318', '320', '333', '350', '8', '25', '43']
['280', '290', '283', '285', '298', '315', '325']
['215', '228', '245', '255', '248', '250', '263']
['185', '178', '180', '193', '210', '220', '213']
['123', '140', '150', '143', '145', '158', '175']
['73', '75', '88', '105', '115', '108', '110']
['35', '45', '38', '40', '53', '70', '80']
['254', '289', '324', '10', '3', '5', '18']
['9', '44', '79', '114', '149', '184', '219']
